env_id,year,compartment_id,substance_id,unit,value,comment,main_id,facility_group_id,company_id,source_id
npri-24216-2023-16,2023,CMP1718f4466d,SUBae95939c3f,tonnes,0.000111,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-1,2023,CMP1718f4466d,SUB0cbc90a094,kg,0.37,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-2,2023,CMP1718f4466d,SUB7e3f017a30,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-3,2023,CMP1718f4466d,SUBd94d47b1d8,kg,0.00012,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-4,2023,CMP1718f4466d,SUB71ee3dc4ca,tonnes,3e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-5,2023,CMP1718f4466d,SUBc6f71d85ae,kg,9.36,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-6,2023,CMP1718f4466d,SUB60617760c1,tonnes,3e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-7,2023,CMP1718f4466d,SUB7df4ab05e3,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-8,2023,CMP1718f4466d,SUB28f44d0e11,tonnes,0.019,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-9,2023,CMP1718f4466d,SUB787e5ac1a2,tonnes,1e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-8757-2023-10,2023,CMP1718f4466d,SUBae95939c3f,tonnes,6e-06,,QC-MAIN-c0660aec,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-1,2023,CMP1718f4466d,SUB1c6e015419,tonnes,0.483,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-1,2023,CMP1718f4466d,SUB0600013568,tonnes,7e-06,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-2,2023,CMP1718f4466d,SUB0cbc90a094,kg,1.8225,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-2,2023,CMP1718f4466d,SUB0cbc90a094,kg,0.032638,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-3,2023,CMP1718f4466d,SUB09c00f97af,kg,0.0138,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-3,2023,CMP1718f4466d,SUB09c00f97af,kg,0.106318,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-4,2023,CMP1718f4466d,SUB2e8ffb4a6f,tonnes,30.228766,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-4,2023,CMP1718f4466d,SUB642eab0862,tonnes,96.4102,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-5,2023,CMP1718f4466d,SUB642eab0862,tonnes,214.673254,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
