main_id,facility_name,jung_priority_point,jung_priority_mean_50km,source_id,geometry
ON-MAIN-97ee890f,Seymour Lake,24.295763072481023,23.026315789473685,https://doi.org/10.5281/zenodo.5006332,POINT (-88.4491 50.40987)
MB-MAIN-27a90834,Makwa Mayville,23.022279641377057,21.151898734177216,https://doi.org/10.5281/zenodo.5006332,POINT (-95.60953 50.6298)
SK-MAIN-fbe28fef,Kindersley Lithium,65.06555051143253,65.7051282051282,https://doi.org/10.5281/zenodo.5006332,POINT (-109.19120556000001 51.73894139)
BC-MAIN-b031959a,Turnagain,39.20654128134561,43.164556962025316,https://doi.org/10.5281/zenodo.5006332,POINT (-128.86282 58.47856)
QC-MAIN-b86f7d07,Casa Berardi,13.041735641959564,14.4125,https://doi.org/10.5281/zenodo.5006332,POINT (-79.231307 49.5719)
YT-MAIN-44857446,Keno Hill Silver District,62.920076518772255,61.52564102564103,https://doi.org/10.5281/zenodo.5006332,POINT (-135.4833 63.9167)
YT-MAIN-c3105f43,Rackla Gold,57.4782543045238,59.278481012658226,https://doi.org/10.5281/zenodo.5006332,POINT (-134.41278 64.19667)
ON-MAIN-fc6f1a44,Ivaco Rolling Mills,31.7312452638262,30.103896103896105,https://doi.org/10.5281/zenodo.5006332,POINT (-74.704435 45.6119)
MB-MAIN-e2e67f8f,1901,23.254348003967465,19.620253164556964,https://doi.org/10.5281/zenodo.5006332,POINT (-100.134 54.8557)
BC-MAIN-599152a0,Copper Mountain,48.98963924059159,38.5679012345679,https://doi.org/10.5281/zenodo.5006332,POINT (-120.533 49.331)
MB-MAIN-be5b3dc8,Lalor Lake,22.873609344660412,19.78481012658228,https://doi.org/10.5281/zenodo.5006332,POINT (-100.13333 54.86667)
MB-MAIN-da0b5c3d,New Britannia,24.203841720130264,19.833333333333332,https://doi.org/10.5281/zenodo.5006332,POINT (-100.024002 54.886349)
MB-MAIN-c0684566,Rail,27.203024383657343,18.746835443037973,https://doi.org/10.5281/zenodo.5006332,POINT (-100.5916 54.7463)
MB-MAIN-0898e255,Stall Lake,22.973763144667274,19.71794871794872,https://doi.org/10.5281/zenodo.5006332,POINT (-99.9451 54.85692)
MB-MAIN-854abe09,Talbot,25.89185384846668,21.329113924050635,https://doi.org/10.5281/zenodo.5006332,POINT (-99.6343 54.1133)
MB-MAIN-1a82a1b7,Tower,23.36417150152527,21.073529411764707,https://doi.org/10.5281/zenodo.5006332,POINT (-99.2284 53.9623)
MB-MAIN-b5b81ee3,Wim,25.981868978800392,20.2375,https://doi.org/10.5281/zenodo.5006332,POINT (-100.05248 55.02136)
QC-MAIN-02884fb5,Westwood-Doyon,24.10940242793496,22.141025641025642,https://doi.org/10.5281/zenodo.5006332,POINT (-78.502 48.256)
ON-MAIN-a3c56a83,Lac des Iles,36.465927288660446,32.48717948717949,https://doi.org/10.5281/zenodo.5006332,POINT (-89.6105 49.1691)
BC-MAIN-3f490561,Mount Polley,33.58275995320218,40.25974025974026,https://doi.org/10.5281/zenodo.5006332,POINT (-121.633931 52.544959)
QC-MAIN-586679b9,Crater Lake,35.287257897537074,33.8875,https://doi.org/10.5281/zenodo.5006332,POINT (-63.8991 55.35025)
NL-MAIN-dd723db4,Carol Lake,26.90855250927946,23.55128205128205,https://doi.org/10.5281/zenodo.5006332,POINT (-66.936774 53.039755)
ON-MAIN-7001a391,McCreedy West,33.14233695633108,34.0,https://doi.org/10.5281/zenodo.5006332,POINT (-81.39894 46.638059)
ON-MAIN-9a34108c,Victoria,34.96808512014548,30.625,https://doi.org/10.5281/zenodo.5006332,POINT (-81.38333 46.41667)
ON-MAIN-6bd6cc80,Kingston Operation,35.502061206811405,33.0,https://doi.org/10.5281/zenodo.5006332,POINT (-76.5121 44.2615)
MB-MAIN-a832fb0a,East Wekusko - Snow Lake,23.07051279946351,19.233766233766232,https://doi.org/10.5281/zenodo.5006332,POINT (-99.77143 54.78534)
BC-MAIN-12730593,Kutcho,46.179395670399515,43.7,https://doi.org/10.5281/zenodo.5006332,POINT (-128.3873599999999 58.20996)
ON-MAIN-575c5e66,Ontario Spoke,35.27360198291371,32.93421052631579,https://doi.org/10.5281/zenodo.5006332,POINT (-76.5 44.233334)
ON-MAIN-6b998583,Markham lithium reprocessing facility,55.43612259468308,46.355932203389834,https://doi.org/10.5281/zenodo.5006332,POINT (-79.3415 43.8331)
QC-MAIN-0414a373,Lithion St-Bruno,33.14131219283988,34.0253164556962,https://doi.org/10.5281/zenodo.5006332,POINT (-73.349998 45.533333)
AB-MAIN-35d0dc71,Boardwalk,43.17946239624635,37.5125,https://doi.org/10.5281/zenodo.5006332,POINT (-117.163427 54.946792)
QC-MAIN-a2c6775d,La Loutre,23.981476548769805,22.9625,https://doi.org/10.5281/zenodo.5006332,POINT (-74.99714 46.03656)
ON-MAIN-b1d981ca,Crean Hill,35.48522719616513,30.833333333333332,https://doi.org/10.5281/zenodo.5006332,POINT (-81.36167 46.42472)
ON-MAIN-54b7e152,Shakespeare,32.82587719433525,28.0,https://doi.org/10.5281/zenodo.5006332,POINT (-81.85944 46.33417)
QC-MAIN-aa793d35,Dumont Nickel,25.25822125612879,23.0,https://doi.org/10.5281/zenodo.5006332,POINT (-78.4425 48.64667)
QC-MAIN-649d2873,Niobec Converter,28.736913739746186,24.558441558441558,https://doi.org/10.5281/zenodo.5006332,POINT (-71.158168 48.531738)
QC-MAIN-a555d9b9,Niobec,28.679509366182238,24.558441558441558,https://doi.org/10.5281/zenodo.5006332,POINT (-71.156929 48.532148)
NB-MAIN-c1e4dee0,Battery Hill,29.463370724602008,26.160493827160494,https://doi.org/10.5281/zenodo.5006332,POINT (-67.62547 46.22531)
NL-MAIN-f021107e,Point Rousse,48.57897921341301,47.23809523809524,https://doi.org/10.5281/zenodo.5006332,POINT (-56.124447 49.96142)
QC-MAIN-615ebdb4,Lac Guéret (Uatnan),34.792091371404595,27.329113924050635,https://doi.org/10.5281/zenodo.5006332,POINT (-69.1 51.14)
ON-MAIN-470b504b,Ottawa Plant,32.80683424430279,35.25316455696203,https://doi.org/10.5281/zenodo.5006332,POINT (-75.562391 45.298042)
ON-MAIN-4e0734b5,Fox Complex,23.776239669852718,23.192307692307693,https://doi.org/10.5281/zenodo.5006332,POINT (-80.340814 48.534362)
QC-MAIN-237d67c1,Lac Rainy Graphite,19.299185767069037,21.576923076923077,https://doi.org/10.5281/zenodo.5006332,POINT (-67.07597 52.60511)
BC-MAIN-c7247100,Driftwood Creek,42.82312580509583,39.392405063291136,https://doi.org/10.5281/zenodo.5006332,POINT (-116.575 50.904)
YT-MAIN-752fbcae,Minto,66.74055135850755,65.44444444444444,https://doi.org/10.5281/zenodo.5006332,POINT (-137.23858 62.618875)
NU-MAIN-8e62bfbc,High Lake,63.54236536168064,67.1038961038961,https://doi.org/10.5281/zenodo.5006332,POINT (-110.8436 67.37556)
NU-MAIN-1ef8af2c,Izok Lake,37.276864910764324,44.5125,https://doi.org/10.5281/zenodo.5006332,POINT (-112.79889 65.63056)
QC-MAIN-eb73fd68,Nemaska lithium conversion facility,33.11392418320006,30.28205128205128,https://doi.org/10.5281/zenodo.5006332,POINT (-72.433334 46.333332)
QC-MAIN-9d41d417,Whabouchi,23.171675993816958,21.468354430379748,https://doi.org/10.5281/zenodo.5006332,POINT (-75.85333 51.67972)
ON-MAIN-2bb07cd3,River Valley,30.857718826296875,32.43037974683544,https://doi.org/10.5281/zenodo.5006332,POINT (-80.27606 46.70591)
BC-MAIN-aa76f6f2,New Afton,69.9753787350365,56.4875,https://doi.org/10.5281/zenodo.5006332,POINT (-120.514 50.661)
ON-MAIN-0aadf28f,Rainy River,25.0147914647783,23.53846153846154,https://doi.org/10.5281/zenodo.5006332,POINT (-94.012 48.833)
ON-MAIN-1c674cd0,Borden,26.861256173560687,23.0,https://doi.org/10.5281/zenodo.5006332,POINT (-83.260981 47.871883)
BC-MAIN-857b7b89,Brucejack,58.60117436661588,47.01282051282051,https://doi.org/10.5281/zenodo.5006332,POINT (-130.21783 56.47554)
BC-MAIN-c720b195,GJ,48.62778876969833,34.81578947368421,https://doi.org/10.5281/zenodo.5006332,POINT (-130.25 57.63)
ON-MAIN-8629a493,Hollinger,26.049845023400756,22.1625,https://doi.org/10.5281/zenodo.5006332,POINT (-81.31314 48.4733)
ON-MAIN-538513cd,Hoyle Pond,22.471235516991847,22.96153846153846,https://doi.org/10.5281/zenodo.5006332,POINT (-81.1083 48.5519)
ON-MAIN-fefeaee4,Musselwhite,20.162444121318572,22.78481012658228,https://doi.org/10.5281/zenodo.5006332,POINT (-90.3636 52.6127)
ON-MAIN-3b3e5365,Porcupine,25.84521526639788,22.5,https://doi.org/10.5281/zenodo.5006332,POINT (-81.242719 48.463511)
BC-MAIN-8eb8be0d,Red Chris,34.572797969267,27.873417721518987,https://doi.org/10.5281/zenodo.5006332,POINT (-129.78333 57.7)
QC-MAIN-6dc537e6,Éléonore,24.687351271872938,24.807692307692307,https://doi.org/10.5281/zenodo.5006332,POINT (-76.08667 52.69889)
BC-MAIN-b4655afb,Galore Creek,53.019668297559754,52.037974683544306,https://doi.org/10.5281/zenodo.5006332,POINT (-131.45 57.13)
SK-MAIN-3012889c,Rook I,35.23265804473739,36.2625,https://doi.org/10.5281/zenodo.5006332,POINT (-108.9925 57.59144)
YT-MAIN-1910d1c3,Nickel Shaw,65.05678200266028,48.175,https://doi.org/10.5281/zenodo.5006332,POINT (-139.53333 61.46667)
QC-MAIN-288718a6,Crevier,23.345610795740967,25.216216216216218,https://doi.org/10.5281/zenodo.5006332,POINT (-72.7644 49.46003)
NB-MAIN-f58cc895,Sisson,20.8026456556391,25.78205128205128,https://doi.org/10.5281/zenodo.5006332,POINT (-67.045 46.365)
ON-MAIN-8b86d975,Bissett Creek,21.00590906846161,21.833333333333332,https://doi.org/10.5281/zenodo.5006332,POINT (-78.05992 46.11814)
BC-MAIN-6fbdcf4c,North Island,22.17252979400959,35.15873015873016,https://doi.org/10.5281/zenodo.5006332,POINT (-127.85639 50.67556)
