row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,compartment,flow_type,subflow_type,substance,unit,value,comment,source,source_id
ENV_INT-7607a50e-2023-1,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore mined,0.0523288103286321,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-7607a50e-2023-2,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore treated,0.052153947080691,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-7607a50e-2023-3,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/oz gold production,0.174246575342466,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-7607a50e-2023-4,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore mined,0.0523288103286321,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-7607a50e-2023-5,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore treated,0.052153947080691,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-7607a50e-2023-6,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/oz gold production,0.174246575342466,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-CMP-140e111b-2023-1,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,ghg,Refining,-,tCO2eq/t of production,0.54,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-2,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,ghg,Smelting,-,tCO2eq/t of production,4.15,Operational control,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-3,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Land,land,Land utilization requirements for bauxite residue,-,m2 land/kt alumina produced,44.97,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-4,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Land,waste,Bauxite residue intensity,-,t/t alumina,1.79,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-5,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Water,water,Water use intensity,-,m3/t alumina produced,3.87,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-6,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Water,water,Freshwater use intensity,-,m3/t primary aluminum,11.5,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-7,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,air_pollution,-,Mercury,kg/kt of alumina produced,0.18,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-8,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,air_pollution,-,Fluoride emissions,kg/t of alumina produced,0.54,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-9,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,ghg,Refining,-,tCO2eq/t of production,0.54,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-10,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Air,ghg,Smelting,-,tCO2eq/t of production,4.15,Operational control,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-140e111b-2023-11,2023,Company-level,Alcoa Corporation,-,-,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Land,land,Land utilization requirements for bauxite residue,-,m2 land/kt alumina produced,44.97,,2023-Sustainability-Data-Book.xlsx,SRC_AlcoaCorporation_2023-Sustainability-Data-Book
ENV_INT-CMP-0f9c0b53-2023-1,2023,Company-level,Algoma Steel Inc.,-,-,-,CMP-0f9c0b53,manufacturing,Basic oxygen furnace,Steel,Air,ghg,scope1 intensity,-,tCO2eq/t steel,1.83,,,SRC_AlgomaSteelInc._nan
ENV_INT-CMP-0f9c0b53-2023-2,2023,Company-level,Algoma Steel Inc.,-,-,-,CMP-0f9c0b53,manufacturing,Basic oxygen furnace,Steel,Air,ghg,scope1+2 intensity,-,tCO2eq/t steel,1.84,,,SRC_AlgomaSteelInc._nan
ENV_INT-CMP-3775c12e-2023-1,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Air,air_pollution,dust intensity (steel),-,kg/t of steel,0.48,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-CMP-3775c12e-2023-2,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Air,air_pollution,Nox intensity (steel),-,kg/t of steel,1.07,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-CMP-3775c12e-2023-3,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Air,air_pollution,Sox intensity (steel),-,kg/t of steel,1.79,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-CMP-3775c12e-2023-4,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Air,ghg,scope1+2 intensity (steel),-,tCO2eq/t of stell,1.96,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-CMP-3775c12e-2023-5,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Water,water,Net water use,-,m3/t of steel,3.4,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-CMP-3775c12e-2023-6,2023,Company-level,Arcelor Mittal,-,-,-,CMP-3775c12e,mining and manufacturing,x,x,Water,water,Net water use,-,m3/t of steel,3.4,,IR_2023.pdf,SRC_ArcelorMittal_IR_2023
ENV_INT-6e9be24e-2023-1,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Air,ghg,scope1+2?,-,tCO2eq/oz gold,0.177,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-2,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Air,ghg,scope1+2?,-,tCO2eq/t of ore processed,0.02,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
ENV_INT-6e9be24e-2023-3,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,-,,,,,Water,water,Withdrawal intensity,-,m3/oz produced,23.7,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
