main_id,name,longitude,latitude,geometry,peatland_presence
NT-MAIN-72d9e68b-1,Diavik,-110.272,64.495,POINT (-110.272 64.495),No data
QC-MAIN-410d5427-1,Renard,-72.190579,52.813913,POINT (-72.190579 52.813913),No data
QC-MAIN-31468429-1,Fire Lake,-67.363935,52.352998,POINT (-67.363935 52.352998),No data
QC-MAIN-e37f7069-1,Mont-Wright,-67.330058,52.757053,POINT (-67.330058 52.757053),No data
NU-MAIN-2375f916-1,Mary River,-78.556869,71.340446,POINT (-78.556869 71.340446),No data
QC-MAIN-a3f1b673-1,Bloom Lake,-67.28,52.84,POINT (-67.28 52.84),No data
NL-MAIN-2d168cf5-1,Carol Lake,-66.936774,53.039755,POINT (-66.936774 53.039755),No data
NL-MAIN-26e5bd2d-1,Scully,-66.912573,52.907129,POINT (-66.912573 52.907129),No data
NL-MAIN-c5737f5f-1,DSO (3 and 4),-67.081916,54.890828,POINT (-67.081916 54.890828),No data
QC-MAIN-696faf4f-1,DSO (Goodwood),-67.34778,55.09939,POINT (-67.34778 55.09939),No data
QC-MAIN-dc872009-1,Lac Tio,-63.416,50.5541,POINT (-63.416 50.5541),No data
QC-MAIN-4c223b8f-1,North American Lithium,-77.80934,48.4115,POINT (-77.80934 48.4115),No data
QC-MAIN-a55bfb50-1,Niobec,-71.156929,48.532148,POINT (-71.156929 48.532148),No data
MB-MAIN-c8fbe1c0-1,Thompson (T-1 and T-3),-97.8444,55.7152,POINT (-97.8444 55.7152),peat in soil mosaic
NL-MAIN-be92136a-1,Voisey’s Bay,-62.090855,56.331659,POINT (-62.090855 56.331659),No data
ON-MAIN-7b682137-1,Nickel Rim South,-80.796793,46.657982,POINT (-80.796793 46.657982),No data
ON-MAIN-8d7da620-1,Totten,-81.454839,46.381174,POINT (-81.454839 46.381174),No data
ON-MAIN-e79f2bec-1,Strathcona,-81.3427,46.6734,POINT (-81.3427 46.6734),No data
ON-MAIN-22af9c76-1,Clarabelle,-81.056782,46.495822,POINT (-81.056782 46.495822),No data
ON-MAIN-48489720-1,Coleman,-81.3397,46.6771,POINT (-81.3397 46.6771),No data
ON-MAIN-20ca68bc-1,Copper Cliff Complex,-81.068205,46.491445,POINT (-81.068205 46.491445),No data
ON-MAIN-9e805c41-1,Creighton,-81.1861,46.474,POINT (-81.1861 46.474),No data
ON-MAIN-eba2313b-1,Garson,-80.857,46.568,POINT (-80.857 46.568),No data
ON-MAIN-2a7426bd-1,Fraser,-81.3404,46.6633,POINT (-81.3404 46.6633),No data
QC-MAIN-2747f5c0-1,Nunavik Nickel,-74.1375,61.420856,POINT (-74.1375 61.420856),No data
QC-MAIN-5a8a80ca-1,Raglan,-73.674669,61.687171,POINT (-73.674669 61.687171),No data
ON-MAIN-bf708684-1,Lac des Iles,-89.6105,49.1691,POINT (-89.6105 49.1691),No data
NL-MAIN-f9946847-1,Beaver Brook,-55.196,48.715909,POINT (-55.196 48.715909),No data
SK-MAIN-3fcec2e7-1,Cigar Lake,-104.54123,58.06819,POINT (-104.54123 58.06819),No data
SK-MAIN-cbbe4602-1,Key Lake,-105.647,57.207,POINT (-105.647 57.207),No data
SK-MAIN-fa315b6c-1,McArthur River,-105.053,57.7637,POINT (-105.053 57.7637),No data
SK-MAIN-cec62931-1,McClean Lake,-103.8361,58.3472,POINT (-103.8361 58.3472),No data
AB-MAIN-088a29d1-1,Horizon,-111.774947222222,57.3382333333333,POINT (-111.774947222222 57.3382333333333),peat in soil mosaic
AB-MAIN-c1f37e9f-1,Jackpine,-111.379855555556,57.2490361111111,POINT (-111.379855555556 57.2490361111111),peat in soil mosaic
AB-MAIN-3014a94d-1,Muskeg River,-111.512,57.2465,POINT (-111.512 57.2465),peat dominated
AB-MAIN-bfdf3cbd-1,Kearl,-111.066731,57.396911,POINT (-111.066731 57.396911),peat in soil mosaic
AB-MAIN-49171f37-1,Fort Hills,-111.572,57.3952,POINT (-111.572 57.3952),peat in soil mosaic
