row_id,climate_category_id,main_id,name,geometry,year,scenario,category
CC-cb85213a-1991_2020-historical-1,ON-MAIN-cb85213a,ON-MAIN-cb85213a,Eagle River,POINT (-85.4619 47.9861),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-6e9be24e-1991_2020-historical-1,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),POINT (-85.91598 48.695726),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-a3c56a83-1991_2020-historical-1,ON-MAIN-a3c56a83,ON-MAIN-a3c56a83,Lac des Iles,POINT (-89.6105 49.1691),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-fefeaee4-1991_2020-historical-1,ON-MAIN-fefeaee4,ON-MAIN-fefeaee4,Musselwhite,POINT (-90.3636 52.6127),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-7f050560-1991_2020-historical-1,ON-MAIN-7f050560,ON-MAIN-7f050560,Red Lake,POINT (-93.732922 51.050557),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-0aadf28f-1991_2020-historical-1,ON-MAIN-0aadf28f,ON-MAIN-0aadf28f,Rainy River,POINT (-94.012 48.833),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-915d9faa-1991_2020-historical-1,MB-MAIN-915d9faa,MB-MAIN-915d9faa,Tanco,POINT (-95.4502 50.4291),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e0a6250e-1991_2020-historical-1,MB-MAIN-e0a6250e,MB-MAIN-e0a6250e,Thompson (T-1 and T-3),POINT (-97.8444 55.7152),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-0898e255-1991_2020-historical-1,MB-MAIN-0898e255,MB-MAIN-0898e255,Stall Lake,POINT (-99.9451 54.85692),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-da0b5c3d-1991_2020-historical-1,MB-MAIN-da0b5c3d,MB-MAIN-da0b5c3d,New Britannia,POINT (-100.024002 54.886349),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-be5b3dc8-1991_2020-historical-1,MB-MAIN-be5b3dc8,MB-MAIN-be5b3dc8,Lalor Lake,POINT (-100.13333 54.86667),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-22ce14be-1991_2020-historical-1,SK-MAIN-22ce14be,SK-MAIN-22ce14be,Santoy,POINT (-103.414571 55.66778),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-29afbdb5-1991_2020-historical-1,SK-MAIN-29afbdb5,SK-MAIN-29afbdb5,Seabee,POINT (-103.622257 55.683772),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-60ba74c4-1991_2020-historical-1,SK-MAIN-60ba74c4,SK-MAIN-60ba74c4,McClean Lake,POINT (-103.8361 58.3472),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-91cf5448-1991_2020-historical-1,SK-MAIN-91cf5448,SK-MAIN-91cf5448,Cigar Lake,POINT (-104.54123 58.06819),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-d3c471e8-1991_2020-historical-1,SK-MAIN-d3c471e8,SK-MAIN-d3c471e8,McArthur River,POINT (-105.053 57.7637),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-bb89158f-1991_2020-historical-1,SK-MAIN-bb89158f,SK-MAIN-bb89158f,Key Lake,POINT (-105.647 57.207),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-ae4fcc15-1991_2020-historical-1,SK-MAIN-ae4fcc15,SK-MAIN-ae4fcc15,Estevan,POINT (-102.864956 49.087329),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-a35bfc1b-1991_2020-historical-1,SK-MAIN-a35bfc1b,SK-MAIN-a35bfc1b,Poplar River,POINT (-105.472585 49.217566),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-526c6c76-1991_2020-historical-1,AB-MAIN-526c6c76,AB-MAIN-526c6c76,Genesee,POINT (-114.267236 53.323876),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-0c614cfb-1991_2020-historical-1,AB-MAIN-0c614cfb,AB-MAIN-0c614cfb,Coal Valley,POINT (-116.786616 53.072796),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-a67a8e37-1991_2020-historical-1,AB-MAIN-a67a8e37,AB-MAIN-a67a8e37,Vista,POINT (-117.36642 53.403506),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-ddfda037-1991_2020-historical-1,AB-MAIN-ddfda037,AB-MAIN-ddfda037,Grande Cache,POINT (-119.1667 54.0333),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-eec2cd4c-1991_2020-historical-1,AB-MAIN-eec2cd4c,AB-MAIN-eec2cd4c,Kearl,POINT (-111.066731 57.396911),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-7dabaf6e-1991_2020-historical-1,AB-MAIN-7dabaf6e,AB-MAIN-7dabaf6e,Millennium and Steepbank,POINT (-111.34 56.8719),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-70af0605-1991_2020-historical-1,AB-MAIN-70af0605,AB-MAIN-70af0605,Jackpine,POINT (-111.379855555556 57.2490361111111),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c42b8de9-1991_2020-historical-1,AB-MAIN-c42b8de9,AB-MAIN-c42b8de9,Aurora North and South,POINT (-111.458 57.3134),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-5ce71d64-1991_2020-historical-1,AB-MAIN-5ce71d64,AB-MAIN-5ce71d64,Mildred Lake,POINT (-111.4667 57),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e4a2cc7b-1991_2020-historical-1,AB-MAIN-e4a2cc7b,AB-MAIN-e4a2cc7b,Muskeg River,POINT (-111.512 57.2465),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-3f0e46be-1991_2020-historical-1,AB-MAIN-3f0e46be,AB-MAIN-3f0e46be,Fort Hills,POINT (-111.572 57.3952),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f7556a3a-1991_2020-historical-1,AB-MAIN-f7556a3a,AB-MAIN-f7556a3a,Horizon,POINT (-111.774947222222 57.3382333333333),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-4724f4ba-1991_2020-historical-1,BC-MAIN-4724f4ba,BC-MAIN-4724f4ba,Elk,POINT (-120.31487 49.8538),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-aa76f6f2-1991_2020-historical-1,BC-MAIN-aa76f6f2,BC-MAIN-aa76f6f2,New Afton,POINT (-120.514 50.661),1991_2020,historical,"BSk - Arid, steppe, cold"
