row_id,population_id,main_id,name,year,buffer_size,total_population
population-8434dce0-2030-1,AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,2030,10km,9364.2826667218
population-8434dce0-2030-2,AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,2030,50km,39101.08708260007
population-895cb178-2025-1,NL-MAIN-895cb178,NL-MAIN-895cb178,Buchans River,2025,10km,750.6831873394549
population-895cb178-2025-2,NL-MAIN-895cb178,NL-MAIN-895cb178,Buchans River,2025,50km,1264.5124949924957
population-895cb178-2030-1,NL-MAIN-895cb178,NL-MAIN-895cb178,Buchans River,2030,10km,749.6289513483644
population-895cb178-2030-2,NL-MAIN-895cb178,NL-MAIN-895cb178,Buchans River,2030,50km,1262.7994324057572
population-6c1d6ee6-2025-1,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,2025,10km,0.0
population-6c1d6ee6-2025-2,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,2025,50km,0.0
population-6c1d6ee6-2030-1,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,2030,10km,0.0
population-6c1d6ee6-2030-2,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,2030,50km,0.0
population-715d4318-2025-1,QC-MAIN-715d4318,QC-MAIN-715d4318,Horizon,2025,10km,614699.5745485451
population-715d4318-2025-2,QC-MAIN-715d4318,QC-MAIN-715d4318,Horizon,2025,50km,4408881.795341622
population-715d4318-2030-1,QC-MAIN-715d4318,QC-MAIN-715d4318,Horizon,2030,10km,638972.0561526477
population-715d4318-2030-2,QC-MAIN-715d4318,QC-MAIN-715d4318,Horizon,2030,50km,4581296.324316031
population-2951d12e-2025-1,AB-MAIN-2951d12e,AB-MAIN-2951d12e,Calgary Facility,2025,10km,699018.3241424719
population-2951d12e-2025-2,AB-MAIN-2951d12e,AB-MAIN-2951d12e,Calgary Facility,2025,50km,1818572.8596406144
population-2951d12e-2030-1,AB-MAIN-2951d12e,AB-MAIN-2951d12e,Calgary Facility,2030,10km,740048.7604599362
population-2951d12e-2030-2,AB-MAIN-2951d12e,AB-MAIN-2951d12e,Calgary Facility,2030,50km,1926794.7819631128
population-0c5b40d8-2025-1,NB-MAIN-0c5b40d8,NB-MAIN-0c5b40d8,Nash Creek,2025,10km,0.0
population-0c5b40d8-2025-2,NB-MAIN-0c5b40d8,NB-MAIN-0c5b40d8,Nash Creek,2025,50km,0.0
population-0c5b40d8-2030-1,NB-MAIN-0c5b40d8,NB-MAIN-0c5b40d8,Nash Creek,2030,10km,0.0
population-0c5b40d8-2030-2,NB-MAIN-0c5b40d8,NB-MAIN-0c5b40d8,Nash Creek,2030,50km,0.0
population-484e4fa3-2025-1,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,2025,10km,4238.942820428942
population-484e4fa3-2025-2,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,2025,50km,22594.10078234785
population-484e4fa3-2030-1,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,2030,10km,4372.853738536178
population-484e4fa3-2030-2,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,2030,50km,23278.812529769624
population-91cf5448-2025-1,SK-MAIN-91cf5448,SK-MAIN-91cf5448,Cigar Lake,2025,10km,2.7084624231792986
population-91cf5448-2025-2,SK-MAIN-91cf5448,SK-MAIN-91cf5448,Cigar Lake,2025,50km,10.639465166488662
