npv_id,main_id,name,latitude,longitude,biome_type,geometry
BC-MAIN-857b7b89,BC-MAIN-857b7b89,Brucejack,56.47554,-130.21783,Low and High Shrub Tundra,POINT (-130.21783 56.47554)
BC-MAIN-9e101b16,BC-MAIN-9e101b16,Line Creek,49.95,-114.7833,Cold Evergreen Needleleaf Forest,POINT (-114.7833 49.95)
BC-MAIN-48ad5435,BC-MAIN-48ad5435,Elkview,49.7431,-114.805,Cold Evergreen Needleleaf Forest,POINT (-114.805 49.7431)
BC-MAIN-c202b377,BC-MAIN-c202b377,Fording River,50.19817,-114.830862,Cold Evergreen Needleleaf Forest,POINT (-114.830862 50.19817)
BC-MAIN-2c4ceca5,BC-MAIN-2c4ceca5,Greenhills,50.117858,-114.877193,Cold Evergreen Needleleaf Forest,POINT (-114.877193 50.117858)
BC-MAIN-afd7eec5,BC-MAIN-afd7eec5,Wolverine,55.0861,-121.2453,Cold Evergreen Needleleaf Forest,POINT (-121.2453 55.0861)
BC-MAIN-becbbe67,BC-MAIN-becbbe67,Brule,55.398,-121.832,Cold Evergreen Needleleaf Forest,POINT (-121.832 55.398)
BC-MAIN-fb4d0c45,BC-MAIN-fb4d0c45,Willow Creek,55.607,-122.2222,Cold Evergreen Needleleaf Forest,POINT (-122.2222 55.607)
YT-MAIN-44857446,YT-MAIN-44857446,Keno Hill Silver District,63.9167,-135.4833,Cold Evergreen Needleleaf Forest,POINT (-135.4833 63.9167)
YT-MAIN-e05ed9fe,YT-MAIN-e05ed9fe,Eagle (Dublin Gulch),64.0322,-135.8456,Cold Evergreen Needleleaf Forest,POINT (-135.8456 64.0322)
YT-MAIN-752fbcae,YT-MAIN-752fbcae,Minto,62.618875,-137.23858,Cold Evergreen Needleleaf Forest,POINT (-137.23858 62.618875)
NT-MAIN-94e652a5,NT-MAIN-94e652a5,Gahcho Kué,63.44528,-109.21194,Cold Evergreen Needleleaf Forest,POINT (-109.21194 63.44528)
NT-MAIN-0ec39ce0,NT-MAIN-0ec39ce0,Diavik,64.495,-110.272,Cold Evergreen Needleleaf Forest,POINT (-110.272 64.495)
NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,64.715,-110.618,Cold Evergreen Needleleaf Forest,POINT (-110.618 64.715)
NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,71.340446,-78.556869,Graminoid and Forb Tundra,POINT (-78.556869 71.340446)
NU-MAIN-8b0264c9,NU-MAIN-8b0264c9,Meliadine,63.031529,-92.220206,Cold Evergreen Needleleaf Forest,POINT (-92.220206 63.031529)
NU-MAIN-730aefe3,NU-MAIN-730aefe3,Meadowbank,65.0199956,-96.071313,Low and High Shrub Tundra,POINT (-96.071313 65.0199956)
