Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
12779,ABBT0133144,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,55.838,-119.778,31.92,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12779-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112779&GoCTemplateCulture=en-CA
"
12780,ABBT0126676,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,53.4993,-116.805,18.82,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12780-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112780&GoCTemplateCulture=en-CA
"
12781,ABGS0006080,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,55.997,-113.474,33.68,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12781-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112781&GoCTemplateCulture=en-CA
"
12782,ABGS0003864,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,55.2828,-119.096,10.4,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12782-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112782&GoCTemplateCulture=en-CA
"
12783,ABBT0126615 (Brintnell Central Bitumen Battery 01-36-080-22W4,Canadian Natural Resources Limited,Sandy Lake,,N/A,Alberta,55.97158,-113.29779,72.34,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12783-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112783&GoCTemplateCulture=en-CA
"
12784,ABGS0002527,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,50.592,-111.779,20.08,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12784-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112784&GoCTemplateCulture=en-CA
"
12785,ABBT0122253,Canadian Natural Resources Limited,Calgary,855 2 Street,T2P 4J8,Alberta,54.8487,-119.224,118.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12785-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112785&GoCTemplateCulture=en-CA
"
12786,ABGS0002510,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,50.523,-111.651,32.81,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12786-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112786&GoCTemplateCulture=en-CA
"
12787,ABCS0126236,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,55.3506,-119.3301,11.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12787-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112787&GoCTemplateCulture=en-CA
"
12788,ADI Art Design International,Bouty inc.,St Hubert,3450 1re rue Street,J3Y 8Y5,Quebec,45.47496,-73.39394,0.07,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=337213&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12788-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112788&GoCTemplateCulture=en-CA
"
