main_id,facility_name,geometry,jung_priority_point,jung_priority_mean_50km,source_id
QC-MAIN-a555d9b9,Niobec,POINT (-71.15692899999998 48.53214799999999),28.679509366182238,24.558441558441558,https://doi.org/10.5281/zenodo.5006332
NB-MAIN-c1e4dee0,Battery Hill,POINT (-67.62546999999999 46.22531),29.463370724602008,26.160493827160494,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-f021107e,Point Rousse,POINT (-56.12444699999999 49.961420000000004),48.57897921341301,47.23809523809524,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-615ebdb4,Lac Guéret (Uatnan),POINT (-69.1 51.139999999999986),34.792091371404595,27.329113924050635,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-470b504b,Ottawa Plant,POINT (-75.56239099999998 45.298041999999995),32.80683424430279,35.25316455696203,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-4e0734b5,Fox Complex,POINT (-80.34081400000001 48.534362000000016),23.776239669852718,23.192307692307693,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-237d67c1,Lac Rainy Graphite,POINT (-67.07596999999998 52.60511),19.299185767069037,21.576923076923077,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-c7247100,Driftwood Creek,POINT (-116.57499999999997 50.903999999999996),42.82312580509583,39.392405063291136,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-752fbcae,Minto,POINT (-137.23858 62.618875),66.74055135850755,65.44444444444444,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-8e62bfbc,High Lake,POINT (-110.84359999999992 67.37555999999995),63.54236536168064,67.1038961038961,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-1ef8af2c,Izok Lake,POINT (-112.79889000000001 65.63056000000002),37.276864910764324,44.5125,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-eb73fd68,Nemaska lithium conversion facility,POINT (-72.43333399999999 46.33333199999999),33.11392418320006,30.28205128205128,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-9d41d417,Whabouchi,POINT (-75.85332999999999 51.67972),23.171675993816958,21.468354430379748,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-2bb07cd3,River Valley,POINT (-80.27605999999997 46.70591),30.857718826296875,32.43037974683544,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-aa76f6f2,New Afton,POINT (-120.514 50.660999999999994),69.9753787350365,56.4875,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-0aadf28f,Rainy River,POINT (-94.01200000000001 48.83300000000001),25.0147914647783,23.53846153846154,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-1c674cd0,Borden,POINT (-83.26098099999999 47.871883),26.861256173560687,23.0,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-857b7b89,Brucejack,POINT (-130.21783 56.47554000000001),58.60117436661588,47.01282051282051,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-c720b195,GJ,POINT (-130.25000000000003 57.63),48.62778876969833,34.81578947368421,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-8629a493,Hollinger,POINT (-81.31313999999999 48.47329999999998),26.049845023400756,22.1625,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-538513cd,Hoyle Pond,POINT (-81.10829999999999 48.5519),22.471235516991847,22.96153846153846,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-fefeaee4,Musselwhite,POINT (-90.36359999999996 52.612699999999975),20.162444121318572,22.78481012658228,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-3b3e5365,Porcupine,POINT (-81.242719 48.463510999999976),25.84521526639788,22.5,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-8eb8be0d,Red Chris,POINT (-129.78333000000003 57.700000000000024),34.572797969267,27.873417721518987,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-6dc537e6,Éléonore,POINT (-76.08666999999998 52.698889999999984),24.687351271872938,24.807692307692307,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-b4655afb,Galore Creek,POINT (-131.44999999999993 57.12999999999999),53.019668297559754,52.037974683544306,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-3012889c,Rook I,POINT (-108.99250000000002 57.59144),35.23265804473739,36.2625,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-1910d1c3,Nickel Shaw,POINT (-139.53333 61.46667000000001),65.05678200266028,48.175,https://doi.org/10.5281/zenodo.5006332
