technosphere_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,flow_type,subflow_type,unit,value,comment,source,source_id
TECH-6b4800fe-2023-1,2023,Site-specific,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,CMP-e35f138c,mining,"Open-pit, concentrator","Copper, molybdenum, silver",Energy,Diesel,GJ,1683653.0,,ESG_2023.pdf,SRC_TasekoMinesLimited_ESG_2023
TECH-6b4800fe-2023-2,2023,Site-specific,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,CMP-e35f138c,mining,"Open-pit, concentrator","Copper, molybdenum, silver",Energy,Electricity consumption|Grid electricity,GJ,1695665.0,,ESG_2023.pdf,SRC_TasekoMinesLimited_ESG_2023
TECH-6b4800fe-2023-3,2023,Site-specific,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,CMP-e35f138c,mining,"Open-pit, concentrator","Copper, molybdenum, silver",Energy,Gasoline,GJ,38791.0,,ESG_2023.pdf,SRC_TasekoMinesLimited_ESG_2023
TECH-6b4800fe-2023-4,2023,Site-specific,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,CMP-e35f138c,mining,"Open-pit, concentrator","Copper, molybdenum, silver",Energy,Natural gas,GJ,186977.0,,ESG_2023.pdf,SRC_TasekoMinesLimited_ESG_2023
TECH-6b4800fe-2023-5,2023,Site-specific,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,CMP-e35f138c,mining,"Open-pit, concentrator","Copper, molybdenum, silver",Energy,Propane,GJ,453.0,,ESG_2023.pdf,SRC_TasekoMinesLimited_ESG_2023
TECH-8b0264c9-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Diesel,GJ,129455.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-8b0264c9-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Electricity consumption,kWh,178921745.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-8b0264c9-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Explosives,GJ,11047.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-8b0264c9-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Light Fuel & Gasoline,GJ,1347.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-8b0264c9-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Natural gas,GJ,86234.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-6e9be24e-2023-1,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,CMP-79bcdb91,mining,"Open-pit, underground, concentrator",Gold,Energy,Electricity consumption|Non-renewable electricity use,GJ,619000.0,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
TECH-6e9be24e-2023-2,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,CMP-79bcdb91,mining,"Open-pit, underground, concentrator",Gold,Energy,Non-renewable fuel use,GJ,301000.0,,Barrick_2023_Performance-Data,SRC_BarrickGoldCorporation_Barrick_2023_Performance-Data
TECH-7607a50e-2023-1,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Energy,Diesel,GJ,211308.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-2,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Energy,Electricity consumption,GJ,334179.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-3,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Energy,Electricity consumption|Generated on-site,GJ,717.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-4,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Energy,Gasoline,GJ,14406.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-5,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Energy,Propane,GJ,72011.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-6,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Material use,Total sodium cyanide used,t,245.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-7607a50e-2023-7,2023,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Material use,Total blasting agents used e.g. ANFO,t,486.3,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TECH-b86f7d07-2023-1,2023,Site-specific,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,"Open-pit, underground, concentrator","Silver, zinc, lead",Energy,Diesel|Mobile equipment,gallons,409793.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-b86f7d07-2023-2,2023,Site-specific,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,"Open-pit, underground, concentrator","Silver, zinc, lead",Energy,Electricity consumption|Not specified,kWh,17595388.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-b86f7d07-2023-3,2023,Site-specific,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,"Open-pit, underground, concentrator","Silver, zinc, lead",Energy,Gasoline|Mobile equipment,gallons,67158.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-b86f7d07-2023-4,2023,Site-specific,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,"Open-pit, underground, concentrator","Silver, zinc, lead",Energy,Propane,gallons,422621.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-b86f7d07-2023-5,2023,Site-specific,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,"Open-pit, underground, concentrator","Silver, zinc, lead",Energy,Surface/underground emulsion & ANFO,pounds,511210.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-c5fefb01-2023-1,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Diesel,kl,1188.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-c5fefb01-2023-2,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Electricity consumption|Generated on-site,MWh,10684.5,Given in MW in the Excel file but does not make sense,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-c5fefb01-2023-3,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Electricity consumption|Grid electricity,MWh,32053.5,Given in MW in the Excel file but does not make sense,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-c5fefb01-2023-4,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Explosives,t,506.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-c5fefb01-2023-5,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Gasoline,kl,36.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-c5fefb01-2023-6,2023,Site-specific,Wesdome Gold Mines Ltd.,Kiena,ON-MAIN-c5fefb01,,CMP-3d2c4955,mining,"Open-pit, concentrator",Gold,Energy,Natural gas,kl,1528.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-a3c56a83-2023-1,2023,Site-specific,Impala Canada Ltd,Lac des Iles,ON-MAIN-a3c56a83,,CMP-967076a1,mining,"Open-pit, underground, concentrator","Platinum group metals, gold, nickel, copper, cobalt",Energy,Diesel,kl,13849.0,,ESG_2024.pdf,SRC_ImpalaCanadaLtd_ESG_2024
TECH-a3c56a83-2023-2,2023,Site-specific,Impala Canada Ltd,Lac des Iles,ON-MAIN-a3c56a83,,CMP-967076a1,mining,"Open-pit, underground, concentrator","Platinum group metals, gold, nickel, copper, cobalt",Energy,Electricity consumption|Not specified,GWh,326.0,,ESG_2024.pdf,SRC_ImpalaCanadaLtd_ESG_2024
TECH-a3c56a83-2023-3,2023,Site-specific,Impala Canada Ltd,Lac des Iles,ON-MAIN-a3c56a83,,CMP-967076a1,mining,"Open-pit, underground, concentrator","Platinum group metals, gold, nickel, copper, cobalt",Energy,Petrol,kl,422.0,,ESG_2024.pdf,SRC_ImpalaCanadaLtd_ESG_2024
TECH-f9e41c2a-2023-1,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Energy,Diesel|Mobile equipment,GJ,191632.0,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
TECH-f9e41c2a-2023-2,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Energy,Diesel|Stationary equipment,GJ,181.0,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
TECH-f9e41c2a-2023-3,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Energy,Electricity consumption|Grid electricity,GJ,276713.0,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
TECH-f9e41c2a-2023-4,2023,Site-specific,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Energy,Gasoline,GJ,3549.0,,ESG_2023.pdf,SRC_EldoradoGold_ESG_2023
