main_id,facility_name,longitude,latitude,geometry,peatland_presence,source_id
BC-MAIN-51068f3b,Kitsault Valley,-129.57778,55.75361,POINT (-129.57778 55.75361),No data,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-7d4a0421,Bashaw District,-113.93655,51.77696,POINT (-113.93655 51.77696),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-f9e41c2a,Lamaque,-77.739624,48.079221,POINT (-77.739624 48.079221),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-6664e89b,Battery Materials Park,-79.62229,47.40635,POINT (-79.62229 47.40635),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-5398dfac,Elkem Chicoutimi,-71.131239,48.412769,POINT (-71.131239 48.412769),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-2cf66e65,Becancour Plant,-72.433334,46.333332,POINT (-72.433334 46.333332),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-7f050560,Red Lake,-93.732922,51.050557,POINT (-93.732922 51.050557),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-26b9aaf3,EVRAZ Regina,-104.623843,50.515263,POINT (-104.623843 50.515263),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-c1cc9f7c,Becancour Silicon,-72.39,46.37,POINT (-72.39 46.37),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-c139de6d,Ming,-56.087,49.915,POINT (-56.087 49.915),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-842ba1b4,Nugget Pond,-55.7753,49.845,POINT (-55.7753 49.845),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-ca488f19,Macmillan Pass,-130.15143,63.16057,POINT (-130.15143 63.16057),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-70d629b4,Mactung,-130.1525,63.2822222222,POINT (-130.1525 63.2822222222),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-efff21d3,Deer Horn,-127.30826,53.3607,POINT (-127.30826 53.3607),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-0684a5d8,Patterson Lake South,-109.364,57.639,POINT (-109.364 57.639),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-f7fde5b4,Minago,-99.21912,54.1092,POINT (-99.21912 54.1092),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-ae473a4e,Lac Knife,-67.18179,52.54974,POINT (-67.18179 52.54974),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-7a11ae49,McIlvenna Bay,-102.89498,54.65977,POINT (-102.89498 54.65977),No data,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-ca9625ce,Fortune Minerals Refinery,-112.513502,53.797615,POINT (-112.513502 53.797615),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NT-MAIN-b7cdf82c,NICO,-116.74583,63.55,POINT (-116.74583 63.55),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-d47616e5,Martison,-83.414444,50.314444,POINT (-83.414444 50.314444),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-e1641dfb,Decar,-125.359691,54.894513,POINT (-125.359691 54.894513),No data,https://greifswaldmoor.de/global-peatland-database-en.html
