row_id,main_id,name,year,buffer_size,total_population,geometry,source_id
population-4c35e094-2025-1,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2025,10km,471518.39073666965,POINT (-79.805204 43.269132),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4c35e094-2025-2,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2025,50km,3273365.6764622647,POINT (-79.805204 43.269132),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4c35e094-2030-1,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2030,10km,495178.16851214564,POINT (-79.805204 43.269132),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4c35e094-2030-2,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2030,50km,3407282.5536139016,POINT (-79.805204 43.269132),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8825d90d-2025-1,ON-MAIN-8825d90d,Magino,2025,10km,715.6691753230131,POINT (-84.45744 48.28869),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8825d90d-2025-2,ON-MAIN-8825d90d,Magino,2025,50km,4180.876533809898,POINT (-84.45744 48.28869),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8825d90d-2030-1,ON-MAIN-8825d90d,Magino,2030,10km,737.3165913625273,POINT (-84.45744 48.28869),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8825d90d-2030-2,ON-MAIN-8825d90d,Magino,2030,50km,4312.1328117983485,POINT (-84.45744 48.28869),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-de2e2f8e-2025-1,SK-MAIN-de2e2f8e,Prairie Lithium,2025,10km,84.36194985185284,POINT (-103.63518 49.21363),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-de2e2f8e-2025-2,SK-MAIN-de2e2f8e,Prairie Lithium,2025,50km,20623.369847423593,POINT (-103.63518 49.21363),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-de2e2f8e-2030-1,SK-MAIN-de2e2f8e,Prairie Lithium,2030,10km,87.66979236749467,POINT (-103.63518 49.21363),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-de2e2f8e-2030-2,SK-MAIN-de2e2f8e,Prairie Lithium,2030,50km,21390.224881750903,POINT (-103.63518 49.21363),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e928d96a-2025-1,ON-MAIN-e928d96a,Brampton,2025,10km,698253.2192032076,POINT (-79.722125 43.691066),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e928d96a-2025-2,ON-MAIN-e928d96a,Brampton,2025,50km,6620234.51668513,POINT (-79.722125 43.691066),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e928d96a-2030-1,ON-MAIN-e928d96a,Brampton,2030,10km,724751.4731943314,POINT (-79.722125 43.691066),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e928d96a-2030-2,ON-MAIN-e928d96a,Brampton,2030,50km,6870075.825284252,POINT (-79.722125 43.691066),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4f11f183-2025-1,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2025,10km,0.0,POINT (-112.59972 62.11806),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4f11f183-2025-2,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2025,50km,53.841202484443784,POINT (-112.59972 62.11806),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4f11f183-2030-1,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2030,10km,0.0,POINT (-112.59972 62.11806),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
