archetype_id,TR_available,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_method,mining_method_mdo,mining_submethod,commodities_nrcan,deposit_mdo,ore_type,processing_method,source,source_id,deposit_cmmi
ARCH-02884fb5-1,Yes,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,,mining,"Underground, concentrator",Truck & Shovel / Loader;Underhand stoping;Longhole open stoping,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Gold, silver","VMS, Vein / narrow vein, Intrusion related, Orogenic",Sulfide,,https://miningdataonline.com/property/77/Westwood-Operation.aspx,https://miningdataonline.com/property/77/Westwood-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Volcanic basin hydrothermal;Volcanogenic massive sulfide (VMS);Bimodal-felsic VMS
ARCH-a3c56a83-1,,Impala Canada Ltd,Lac des Iles,ON-MAIN-a3c56a83,,mining,"Open-pit, underground, concentrator",Truck & Shovel / Loader;Longhole open stoping;Sub-level shrinkage;Sub-level caving,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Platinum group metals, gold, nickel, copper, cobalt","Magmatic, Intrusion related",Sulfide,,https://miningdataonline.com/property/77/Westwood-Operation.aspx,https://miningdataonline.com/property/77/Westwood-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-3f490561-1,Yes,Imperial Metals Corporation,Mount Polley,BC-MAIN-3f490561,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Gold, copper, silver","Porphyry, Breccia pipe / Stockwork",Sulfide,"Crushing, grinding, gravity concentration, cyanide leaching, and carbon-in-pulp (CIP) circuit​",https://miningdataonline.com/property/55/Lac-des-Iles-Mine.aspx,https://miningdataonline.com/property/55/Lac-des-Iles-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-dd723db4-1,,Iron Ore Company of Canada Inc.,Carol Lake,NL-MAIN-dd723db4,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/61/Mount-Polley.aspx,https://miningdataonline.com/property/61/Mount-Polley.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-7001a391-1,Yes,KGHM,McCreedy West,ON-MAIN-7001a391,,mining,Underground,Back stoping;Undercut mining,,"Copper, nickel, platinum group metals, gold, silver, cobalt","Vein / narrow vein, Breccia pipe / Stockwork, Footwall hosted",Sulfide,,https://miningdataonline.com/property/23/Carol-Lake-Mine.aspx,https://miningdataonline.com/property/23/Carol-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-a555d9b9-1,,Magris Performance Materials Inc.,Niobec,QC-MAIN-a555d9b9,,mining,"Underground, concentrator",Open stopping,,Niobium,"Magmatic, Metasomatic",,,"https://miningdataonline.com/property/173/McCreedy-West,--Morrison-Levack-Sudbury-Basin-Mine.aspx","https://miningdataonline.com/property/173/McCreedy-West,--Morrison-Levack-Sudbury-Basin-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496",
ARCH-f021107e-1,,Maritime Resources Corp.,Point Rousse,NL-MAIN-f021107e,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Gold,"Vein / narrow vein, Orogenic",Sulfide,,https://miningdataonline.com/property/12/Niobec-Mine.aspx,https://miningdataonline.com/property/12/Niobec-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-4e0734b5-1,Yes,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,mining,"Open-pit, underground, concentrator",Longitudinal stoping;Transverse stoping;Longhole stoping;Longitudinal open stoping,Underground – Stoping – Long-Hole Stoping,Gold,"Vein / narrow vein, Intrusion related, Breccia pipe / Stockwork, Porphyry, Epithermal",Oxide or Sulfide,,https://miningdataonline.com/property/454/Eagle-Mine-Operation.aspx,https://miningdataonline.com/property/454/Eagle-Mine-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-752fbcae-1,,Minto Metals Corporation,Minto,YT-MAIN-752fbcae,,mining,"Open-pit, underground, concentrator",Longhole upper cut retreat,,"Copper, gold, silver",Porphyry,Sulfide,,https://miningdataonline.com/property/588/Fox-Complex.aspx,https://miningdataonline.com/property/588/Fox-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-aa76f6f2-1,Yes,New Gold Inc,New Afton,BC-MAIN-aa76f6f2,,mining,"Open-pit, underground, concentrator","Black caving, longhole stoping",Underground – Caving – Block Caving,"Gold, copper, silver",Alkalic coppergold porphyry,Sulfide,,https://miningdataonline.com/property/58/Minto-Mine.aspx,https://miningdataonline.com/property/58/Minto-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
