main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owners,operators,operation_periods,company_URL,facility_URL,MDO_URL,source_id
NB-MAIN-8e04eb21,Murray Brook,,,CMP-336d5ebc,-,,New Brunswick,project_facility,Active,Advanced project,project,,,"Zinc, lead, silver, copper, gold",Cameco (100%),Cameco,,,,,
NB-MAIN-c1e4dee0,Battery Hill,,,CMP-8ee9b6db,Manganese X Energy Corp,,New Brunswick,project_facility,Active,Advanced project,project,,,"Manganese, iron ore",,,,,,,
NB-MAIN-f58cc895,Sisson,,,CMP-c2bf67a4,Northcliff Resources Ltd,,New Brunswick,project_facility,Active,Advanced project,project,,,"Tungsten, molybdenum",,,,,,,
NL-MAIN-18695c6d,Scully Mine - Manganese project,,,CMP-8a99044e,Tacora Resources Inc,,Newfoundland and Labrador,project_facility,Active,Advanced unconventional project,project,,,Manganese,,,,https://tacoraresources.com/,,,
NL-MAIN-251d6364,Beaver Brook,,,CMP-336d5ebc,-,Glenwood,Newfoundland and Labrador,active_facility,,,mining,"Underground, concentrator",Other metals,Antimony,No data found. Could be suspended.,No data found. Could be suspended.,,x,x,x,
NL-MAIN-2d8801d6,Voisey’s Bay,,,CMP-9617aef4,Vale,Voisey’s Bay,Newfoundland and Labrador,active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,"Nickel, copper, cobalt",,,2005–open,https://vale.com/canada,https://vale.com/long-harbour,-,
NL-MAIN-842ba1b4,Nugget Pond,,,CMP-24a4f1d5,FireFly Metals Ltd,Snook’s Arm,Newfoundland and Labrador,active_facility,,,mining,Concentrator,Base metals,Copper,FireFly Metals Ltd (100%),FireFly Metals Ltd,,https://fireflymetals.com.au,https://fireflymetals.com.au/nugget-pond-processing-plant/,,
NL-MAIN-895cb178,Buchans River,,,CMP-336d5ebc,-,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,"Zinc, lead, copper, silver, gold",,,,,,,
NL-MAIN-a498ddc6,Michelin,,,CMP-a68d12ce,Paladin Energy Limited,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,Uranium,,,,,,,
NL-MAIN-b64bae7a,Scully,,,CMP-8a99044e,Tacora Resources Inc,Wabush,Newfoundland and Labrador,active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,Tacora Resources Inc (100%),,,https://tacoraresources.com/,https://www.gem.wiki/Tacora_Resources_Scully_Mine,https://miningdataonline.com/property/4651/Scully-Mine.aspx,
NL-MAIN-bb23d8a6,Great Burnt Lake,,,CMP-b15b2ada,Spruce Ridge Resources Limited,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,"Copper, gold",,,,,,,
NL-MAIN-c139de6d,Ming,,,CMP-24a4f1d5,FireFly Metals Ltd,Baie Verte,Newfoundland and Labrador,active_facility,,,mining,Underground,Base metals,"Copper, gold, silver",FireFly Metals Ltd (100%),FireFly Metals Ltd,,https://fireflymetals.com.au,https://fireflymetals.com.au/ming-underground-mine/,https://miningdataonline.com/property/960/Ming-Mine.aspx,
NL-MAIN-d9036091,Long Harbour,,,CMP-9617aef4,Vale,,Newfoundland and Labrador,active_facility,,,manufacturing,Refinery,Base metals,"Nickel, copper, cobalt","Vale (90%), Manara Minerals Investment Co (10%)",,,https://vale.com/canada,https://vale.com/voisey-s-bay,https://miningdataonline.com/property/417/Voiseys-Bay-Mine.aspx,
NL-MAIN-dd723db4,Carol Lake,,,CMP-2da4630a,Iron Ore Company of Canada Inc,Labrador City,Newfoundland and Labrador,active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,"Rio Tinto (58.7%), Mitsubishi Corporation (26.2%) and Labrador Iron Ore Royalty Corporation (15.1%)",,,https://www.ironore.ca/en,https://www.riotinto.com/en/operations/canada/iron-ore-company-canada,https://miningdataonline.com/property/23/Carol-Lake-Mine.aspx,
NL-MAIN-e09881ff,DSO (3 and 4),GRP-2a663492,DSO,CMP-31bb0d19,Tata Steel Minerals Canada Limited,Menihek,Newfoundland and Labrador,active_facility,,,mining,Open-pit,Iron ore,Iron,"Tata Steel Limited (80%), New Millennium Iron Corporation (20%) through Tata Steel Minerals Canada (TSMC) joint venture",,,https://www.tatasteel.com/investors/annual-report-2014-15/html/tata-steel-minerals-canada.html,-,https://miningdataonline.com/property/941/Howse-Project.aspx,
NL-MAIN-f021107e,Point Rousse,,,CMP-858cc590,Maritime Resources Corp,Baie Verte,Newfoundland and Labrador,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,Maritime Resources Corp (100%),,,https://maritimeresourcescorp.com/,https://maritimeresourcescorp.com/exploration/point-rousse-project/,https://miningdataonline.com/property/454/Eagle-Mine-Operation.aspx,
