main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
SK-MAIN-52fbe54e-1,ZZ-IND-17cfceda-1,3616.54,2676.82
SK-MAIN-52fbe54e-1,ZZ-IND-3441319a-1,8753.22,8189.97
SK-MAIN-52fbe54e-1,ZZ-IND-3e1a4b81-1,6057.06,5250.65
SK-MAIN-52fbe54e-1,ZZ-IND-eda1119e-1,8167.18,7599.6
SK-MAIN-52fbe54e-1,ZZ-IND-750571e8-1,5278.45,4744.28
SK-MAIN-52fbe54e-1,ZZ-IND-2af5a7b9-1,9606.83,8752.2
SK-MAIN-52fbe54e-1,ZZ-IND-05ee60b7-1,6815.87,6340.3
SK-MAIN-52fbe54e-1,ZZ-IND-9fc92a4e-1,5966.36,5482.36
SK-MAIN-52fbe54e-1,ZZ-IND-683c10d3-1,6247.46,5360.35
SK-MAIN-52fbe54e-1,ZZ-IND-2fcdff30-1,6034.29,5808.14
SK-MAIN-52fbe54e-1,ZZ-IND-4b4d3634-1,10632.54,9483.65
SK-MAIN-52fbe54e-1,ZZ-IND-16771aa6-1,4919.42,4399.44
SK-MAIN-52fbe54e-1,ZZ-IND-a105e24e-1,10267.84,9139.09
SK-MAIN-52fbe54e-1,ZZ-IND-6905c451-1,8315.86,7075.69
SK-MAIN-52fbe54e-1,ZZ-IND-ea1f17b0-1,6325.46,5814.88
SK-MAIN-52fbe54e-1,ZZ-IND-858ed892-1,1849.61,1048.98
SK-MAIN-52fbe54e-1,ZZ-IND-9585f88a-1,7532.83,7063.96
SK-MAIN-52fbe54e-1,ZZ-IND-0deaa062-1,6570.82,5120.83
SK-MAIN-52fbe54e-1,ZZ-IND-8cc85370-1,4589.15,4077.24
SK-MAIN-52fbe54e-1,ZZ-IND-02d65495-1,5151.7,4538.59
SK-MAIN-52fbe54e-1,ZZ-IND-153fc67f-1,5742.55,5653.21
SK-MAIN-52fbe54e-1,ZZ-IND-a88c60bd-1,3387.48,2935.83
