main_id,wpda_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-e6f9d1aa-1,ZZ-WPDA-c94aaba0-1,6119.72,5050.88
QC-MAIN-e6f9d1aa-1,ZZ-WPDA-c7e86bad-1,11359.5,7939.23
QC-MAIN-e6f9d1aa-1,ZZ-WPDA-fd01bca2-1,11084.42,7426.46
QC-MAIN-e6f9d1aa-1,QC-WPDA-cb3032d7-1,10506.92,9780.43
QC-MAIN-e6f9d1aa-1,QC-WPDA-92fd0d01-1,10619.48,9899.9
ON-MAIN-ab3beaca-1,ON-WPDA-dc5c0c67-1,16515.44,4107.21
ON-MAIN-ab3beaca-1,ZZ-WPDA-7eb31a3b-1,3567.93,260.52
ON-MAIN-b8eb9cec-1,ON-WPDA-9473ffbb-1,7016.98,6758.8
ON-MAIN-b8eb9cec-1,ON-WPDA-3a093791-1,8187.33,7158.28
ON-MAIN-b8eb9cec-1,ON-WPDA-b459b1af-1,8799.57,7842.21
ON-MAIN-b8eb9cec-1,ON-WPDA-750c2fc5-1,8520.38,7806.88
ON-MAIN-b8eb9cec-1,ON-WPDA-50cac4f3-1,4728.21,1995.94
ON-MAIN-5d575b1c-1,ON-WPDA-3a093791-1,10450.89,9470.24
ON-MAIN-5d575b1c-1,ON-WPDA-750c2fc5-1,2366.86,1383.2
ON-MAIN-5d575b1c-1,ON-WPDA-50cac4f3-1,7578.24,3160.21
AB-MAIN-9e5c8260-1,,,
ON-MAIN-6d63265c-1,,,
QC-MAIN-7aedd1d1-1,ZZ-WPDA-4c8142b3-1,8317.82,7820.57
QC-MAIN-7aedd1d1-1,QC-WPDA-35e44998-1,8404.34,7969.13
QC-MAIN-7aedd1d1-1,QC-WPDA-e17f83d7-1,5382.81,4969.11
QC-MAIN-7aedd1d1-1,QC-WPDA-548fcb29-1,9398.91,9310.53
QC-MAIN-7aedd1d1-1,QC-WPDA-43e6460d-1,1144.46,692.38
QC-MAIN-7aedd1d1-1,QC-WPDA-81c94e46-1,5557.32,4841.97
QC-MAIN-7aedd1d1-1,ZZ-WPDA-f934bc1d-1,10991.44,4924.07
QC-MAIN-7aedd1d1-1,ZZ-WPDA-2ff5075d-1,10002.95,7312.77
QC-MAIN-7aedd1d1-1,QC-WPDA-d8c2ca02-1,4498.23,639.06
QC-MAIN-b82e1010-1,QC-WPDA-f6b9e3d8-1,4097.4,2719.31
QC-MAIN-b82e1010-1,ZZ-WPDA-91840eb1-1,4049.96,3820.31
QC-MAIN-b82e1010-1,QC-WPDA-8738ee01-1,6326.7,6285.97
QC-MAIN-b82e1010-1,QC-WPDA-4e57a9e0-1,6841.53,6422.68
QC-MAIN-b82e1010-1,QC-WPDA-53586158-1,8301.31,8205.12
QC-MAIN-b82e1010-1,QC-WPDA-9b0452ed-1,4838.56,4441.25
QC-MAIN-b82e1010-1,QC-WPDA-723e213e-1,5640.35,5324.48
QC-MAIN-b82e1010-1,QC-WPDA-9b42b952-1,6772.69,6140.36
QC-MAIN-b82e1010-1,QC-WPDA-e4ddb4a4-1,1618.1,1016.57
QC-MAIN-b82e1010-1,QC-WPDA-1f68683c-1,9460.27,7807.36
QC-MAIN-b82e1010-1,QC-WPDA-992cc22a-1,6572.18,5152.5
QC-MAIN-b82e1010-1,QC-WPDA-2ee0876d-1,12237.6,9957.33
QC-MAIN-b82e1010-1,ZZ-WPDA-45838f65-1,5782.8,4068.79
QC-MAIN-b82e1010-1,QC-WPDA-c4040d68-1,6986.28,4767.64
QC-MAIN-b82e1010-1,QC-WPDA-3460df07-1,2879.72,1872.91
QC-MAIN-b82e1010-1,QC-WPDA-ea61641a-1,9001.55,8738.34
QC-MAIN-b82e1010-1,QC-WPDA-6536c81d-1,10303.91,9126.1
QC-MAIN-b82e1010-1,QC-WPDA-339e71c1-1,9915.38,9508.11
QC-MAIN-b82e1010-1,QC-WPDA-db1b0efd-1,8883.45,8765.53
QC-MAIN-b82e1010-1,QC-WPDA-2c2c715d-1,8505.57,8262.39
QC-MAIN-b82e1010-1,QC-WPDA-6862f110-1,4493.85,4263.02
QC-MAIN-b82e1010-1,QC-WPDA-b46c05c0-1,6242.23,4487.86
QC-MAIN-b82e1010-1,QC-WPDA-ca4fb02f-1,8375.63,8144.31
QC-MAIN-b82e1010-1,QC-WPDA-a8d95f69-1,5972.77,5761.65
QC-MAIN-b82e1010-1,QC-WPDA-e5d60a06-1,10165.87,9775.07
