main_id,tang_id,distance_to_centroid_m,distance_to_edge_m
ON-MAIN-ec0e3472-1,ON-TANG-f16c319f-1,2885.72,2687.66
ON-MAIN-ec0e3472-1,ON-TANG-d4bd5fb7-1,2630.35,2363.18
ON-MAIN-ec0e3472-1,ON-TANG-4c7bfea1-1,5531.24,4540.22
ON-MAIN-ec0e3472-1,ON-TANG-6a666aa4-1,2121.88,1797.41
ON-MAIN-ec0e3472-1,ON-TANG-17a0566f-1,540.52,395.66
ON-MAIN-ec0e3472-1,ON-TANG-0ca2470c-1,5879.23,5729.73
ON-MAIN-ec0e3472-1,ON-TANG-abee3fc4-1,885.09,533.7
ON-MAIN-ec0e3472-1,ON-TANG-94c5eab5-1,692.38,396.06
ON-MAIN-ec0e3472-1,ON-TANG-eac15156-1,5317.66,4647.76
ON-MAIN-ec0e3472-1,ON-TANG-55a590da-1,1438.26,1105.88
ON-MAIN-ec0e3472-1,ON-TANG-55cfc309-1,4921.53,3671.88
ON-MAIN-ec0e3472-1,ON-TANG-3b1598bd-1,8753.32,8586.57
ON-MAIN-ec0e3472-1,ON-TANG-1aca67fd-1,4667.92,3857.63
ON-MAIN-ec0e3472-1,ON-TANG-0ec2c570-1,8983.1,8597.8
ON-MAIN-ec0e3472-1,ON-TANG-cc67dca5-1,9048.19,8667.47
ON-MAIN-ec0e3472-1,ON-TANG-ea1aff1d-1,5635.96,5309.5
ON-MAIN-ec0e3472-1,ON-TANG-11d82af3-1,11302.38,9393.12
ON-MAIN-ec0e3472-1,ON-TANG-314e29e4-1,6876.38,6695.94
ON-MAIN-ec0e3472-1,ON-TANG-fc21ad1c-1,10555.61,9328.51
ON-MAIN-ec0e3472-1,ON-TANG-c277ad81-1,7762.92,5700.95
ON-MAIN-ec0e3472-1,ON-TANG-72fa2437-1,10836.17,9558.12
ON-MAIN-87eff5d8-1,ON-TANG-17a0566f-1,11235.22,9658.87
ON-MAIN-87eff5d8-1,ON-TANG-55a590da-1,10041.31,9359.84
ON-MAIN-87eff5d8-1,ON-TANG-55cfc309-1,9759.62,8540.87
ON-MAIN-87eff5d8-1,ON-TANG-3b1598bd-1,6083.58,5990.25
ON-MAIN-87eff5d8-1,ON-TANG-1aca67fd-1,7354.91,6355.71
ON-MAIN-87eff5d8-1,ON-TANG-0ec2c570-1,5722.57,5512.01
ON-MAIN-87eff5d8-1,ON-TANG-cc67dca5-1,4977.31,4682.55
ON-MAIN-87eff5d8-1,ON-TANG-ea1aff1d-1,6676.94,5966.25
ON-MAIN-87eff5d8-1,ON-TANG-11d82af3-1,5964.75,5201.69
ON-MAIN-87eff5d8-1,ON-TANG-314e29e4-1,6433.68,6127.56
ON-MAIN-87eff5d8-1,ON-TANG-fc21ad1c-1,4360.45,3558.9
ON-MAIN-87eff5d8-1,ON-TANG-c277ad81-1,9062.14,7221.74
ON-MAIN-87eff5d8-1,ON-TANG-da567ee9-1,5981.08,5289.56
ON-MAIN-87eff5d8-1,ON-TANG-70138815-1,7150.53,6277.56
ON-MAIN-87eff5d8-1,ON-TANG-72fa2437-1,1325.6,291.72
ON-MAIN-87eff5d8-1,ON-TANG-7d76ec90-1,7037.6,6137.21
ON-MAIN-87eff5d8-1,ON-TANG-eb138573-1,6462.87,3864.77
ON-MAIN-87eff5d8-1,ON-TANG-8feb7f60-1,9683.62,9243.38
ON-MAIN-af364a50-1,ON-TANG-2aa81702-1,1178.56,989.3
ON-MAIN-af364a50-1,ON-TANG-7abdbbc5-1,1065.73,854.9
ON-MAIN-af364a50-1,ON-TANG-2194de44-1,845.26,713.04
ON-MAIN-af364a50-1,ON-TANG-69ff0a56-1,698.53,609.34
ON-MAIN-af364a50-1,ON-TANG-9798c7cb-1,200.04,133.85
ON-MAIN-af364a50-1,ON-TANG-a144c668-1,7388.49,7011.38
ON-MAIN-af364a50-1,ON-TANG-c9a13930-1,8766.57,7871.97
ON-MAIN-f22b9058-1,,,
SK-MAIN-fb71dcba-1,,,
SK-MAIN-409d52eb-1,SK-TANG-5fb2a8c4-1,362.2,187.92
SK-MAIN-409d52eb-1,SK-TANG-e1ad1044-1,707.75,476.0
SK-MAIN-409d52eb-1,SK-TANG-021decf1-1,523.77,91.74
SK-MAIN-409d52eb-1,SK-TANG-1ff64214-1,1511.05,1434.91
SK-MAIN-409d52eb-1,SK-TANG-5647cbc2-1,2679.06,2417.46
SK-MAIN-409d52eb-1,SK-TANG-ef5d588c-1,1867.77,1530.27
SK-MAIN-409d52eb-1,SK-TANG-8cc80537-1,2444.18,2365.53
SK-MAIN-409d52eb-1,SK-TANG-6ceca8bf-1,3617.57,3544.14
NS-MAIN-7611a9c0-1,NS-TANG-39729d97-1,1090.88,229.68
NS-MAIN-7611a9c0-1,NS-TANG-cd9645ff-1,1671.88,1186.58
YT-MAIN-24f21978-1,,,
ON-MAIN-d0063de8-1,ON-TANG-3819d925-1,2204.43,1926.12
ON-MAIN-d0063de8-1,ON-TANG-cde22279-1,1099.76,973.81
ON-MAIN-d0063de8-1,ON-TANG-2b5dd369-1,1204.86,955.56
ON-MAIN-d0063de8-1,ON-TANG-28e01875-1,78.39,106.53
QC-MAIN-918440f1-1,QC-TANG-bf660769-1,9954.59,9850.54
QC-MAIN-918440f1-1,QC-TANG-49326615-1,8907.07,8428.39
QC-MAIN-918440f1-1,QC-TANG-7951552d-1,9669.09,8940.53
QC-MAIN-918440f1-1,QC-TANG-4d73abd3-1,4547.59,4491.91
QC-MAIN-918440f1-1,QC-TANG-1d95a329-1,4697.82,4491.55
QC-MAIN-918440f1-1,QC-TANG-c99a1f56-1,4223.22,4020.81
QC-MAIN-918440f1-1,QC-TANG-8a4d5f7d-1,4416.44,4318.12
QC-MAIN-918440f1-1,QC-TANG-7e19912c-1,4903.11,4727.41
QC-MAIN-918440f1-1,QC-TANG-c3c9d22f-1,6496.75,6241.38
QC-MAIN-918440f1-1,QC-TANG-933704ba-1,6799.19,5723.46
QC-MAIN-918440f1-1,QC-TANG-4c01a496-1,1299.73,1177.54
QC-MAIN-918440f1-1,QC-TANG-33c2d364-1,9849.27,9594.5
QC-MAIN-918440f1-1,QC-TANG-51c51381-1,2118.55,1719.07
QC-MAIN-918440f1-1,QC-TANG-5622d149-1,505.32,327.07
QC-MAIN-918440f1-1,QC-TANG-e5948de8-1,10073.87,9648.91
QC-MAIN-918440f1-1,QC-TANG-13d7b86e-1,5484.6,5062.49
QC-MAIN-918440f1-1,QC-TANG-cfe64fa3-1,5842.01,5507.55
QC-MAIN-918440f1-1,QC-TANG-4306f66a-1,9352.54,8483.7
QC-MAIN-918440f1-1,QC-TANG-4ae67496-1,9982.27,9725.45
ON-MAIN-36212738-1,ON-TANG-e3fd1dfa-1,2709.07,2029.11
ON-MAIN-36212738-1,ON-TANG-42564222-1,1729.93,1261.45
ON-MAIN-36212738-1,ON-TANG-13fd4793-1,545.39,442.37
ON-MAIN-36212738-1,ON-TANG-a485d711-1,96.93,69.69
QC-MAIN-efc41be6-1,QC-TANG-c6d6a80a-1,9120.71,9049.16
QC-MAIN-efc41be6-1,QC-TANG-b28566c1-1,8766.65,8653.25
QC-MAIN-efc41be6-1,QC-TANG-fd814a64-1,8001.72,7808.53
QC-MAIN-efc41be6-1,QC-TANG-8dd51cc8-1,2467.18,933.04
QC-MAIN-efc41be6-1,QC-TANG-9fba572a-1,148.03,240.26
QC-MAIN-efc41be6-1,QC-TANG-42a3db1c-1,869.07,250.3
QC-MAIN-b1e99caf-1,QC-TANG-933704ba-1,9949.7,8900.21
QC-MAIN-b1e99caf-1,QC-TANG-c7a9b5c9-1,2503.72,428.94
QC-MAIN-b1e99caf-1,QC-TANG-1c7e1833-1,1706.45,1290.83
QC-MAIN-b1e99caf-1,QC-TANG-4306f66a-1,7830.61,7094.22
QC-MAIN-b1e99caf-1,QC-TANG-85d032e4-1,3157.08,2630.47
QC-MAIN-b1e99caf-1,QC-TANG-4ae67496-1,8000.67,7829.94
QC-MAIN-b1e99caf-1,QC-TANG-ca638453-1,4675.97,4511.64
QC-MAIN-b1e99caf-1,QC-TANG-643f4e4b-1,5749.05,5401.09
QC-MAIN-b1e99caf-1,QC-TANG-d4108a36-1,6342.15,6172.96
QC-MAIN-547f4bc7-1,QC-TANG-7cdc5844-1,6515.14,6384.26
QC-MAIN-547f4bc7-1,QC-TANG-bf660769-1,6144.29,6002.85
QC-MAIN-547f4bc7-1,QC-TANG-49326615-1,4858.58,4389.44
QC-MAIN-547f4bc7-1,QC-TANG-0d8c6ad2-1,8345.14,8259.78
QC-MAIN-547f4bc7-1,QC-TANG-7951552d-1,5905.68,5277.81
QC-MAIN-547f4bc7-1,QC-TANG-9381656e-1,9962.46,9516.78
QC-MAIN-547f4bc7-1,QC-TANG-4f675c6c-1,9074.57,7931.99
QC-MAIN-547f4bc7-1,QC-TANG-4d73abd3-1,440.12,385.91
QC-MAIN-547f4bc7-1,QC-TANG-1d95a329-1,781.02,603.61
QC-MAIN-547f4bc7-1,QC-TANG-c099c00e-1,7306.17,7112.27
QC-MAIN-547f4bc7-1,QC-TANG-c99a1f56-1,120.14,24.67
QC-MAIN-547f4bc7-1,QC-TANG-8a4d5f7d-1,448.52,385.22
QC-MAIN-547f4bc7-1,QC-TANG-7e19912c-1,1184.42,1074.32
QC-MAIN-547f4bc7-1,QC-TANG-c3c9d22f-1,3554.97,3297.02
QC-MAIN-547f4bc7-1,QC-TANG-7bd030a8-1,9019.05,7898.87
QC-MAIN-547f4bc7-1,QC-TANG-933704ba-1,9579.7,8570.47
QC-MAIN-547f4bc7-1,QC-TANG-4f39ef00-1,9432.15,8274.09
QC-MAIN-547f4bc7-1,QC-TANG-4c01a496-1,4291.11,4148.01
QC-MAIN-547f4bc7-1,QC-TANG-33c2d364-1,7512.01,7189.78
QC-MAIN-547f4bc7-1,QC-TANG-15065568-1,8020.28,7655.91
QC-MAIN-547f4bc7-1,QC-TANG-51c51381-1,5649.04,4957.6
QC-MAIN-547f4bc7-1,QC-TANG-ef0dba86-1,8435.76,8184.54
QC-MAIN-547f4bc7-1,QC-TANG-5622d149-1,4503.82,4283.04
QC-MAIN-547f4bc7-1,QC-TANG-e5948de8-1,7991.28,7426.61
QC-MAIN-547f4bc7-1,QC-TANG-13d7b86e-1,9032.07,8565.37
QC-MAIN-547f4bc7-1,QC-TANG-cfe64fa3-1,9567.88,9201.0
ON-MAIN-efe5148b-1,ON-TANG-da8c0b4e-1,9954.81,9885.55
ON-MAIN-efe5148b-1,ON-TANG-4c3dae77-1,3637.58,3449.64
ON-MAIN-efe5148b-1,ON-TANG-e58e4f59-1,4683.44,3947.55
ON-MAIN-efe5148b-1,ON-TANG-6e8146e3-1,1586.37,1397.05
ON-MAIN-efe5148b-1,ON-TANG-a1302df7-1,5148.76,4122.35
ON-MAIN-efe5148b-1,ON-TANG-ff12a235-1,1726.78,1613.98
