main_id,mincan_id,distance_m,name,namemine,similarity_full_score,similarity_partial_score
ON-MAIN-ec0e3472-1,ON-MINCAN-d0b499b7-1,7412.94,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-79615968-1,12350.22,Porcupine,Owl Creek,22.22222222222222,30.76923076923077
ON-MAIN-ec0e3472-1,ON-MINCAN-04ddd279-1,17332.94,Porcupine,Redstone,35.29411764705882,40.0
ON-MAIN-ec0e3472-1,ON-MINCAN-f24d24cd-1,11531.55,Porcupine,Pamour,40.0,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-b04333c7-1,9646.63,Porcupine,Hallnor,25.0,40.0
ON-MAIN-ec0e3472-1,ON-MINCAN-1935646c-1,6474.46,Porcupine,Norandas,35.29411764705882,37.5
ON-MAIN-ec0e3472-1,ON-MINCAN-8863ccf3-1,4475.31,Porcupine,Schumacher Division (Former McIntyre) and renamed 1981: Shumacher,13.513513513513509,33.333333333333336
ON-MAIN-ec0e3472-1,ON-MINCAN-0b822735-1,5894.83,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-eb1e3a56-1,1553.49,Porcupine,Paymaster,22.22222222222222,33.333333333333336
ON-MAIN-ec0e3472-1,ON-MINCAN-6ed98edb-1,3448.84,Porcupine,Coniaurum,33.333333333333336,42.85714285714286
ON-MAIN-ec0e3472-1,ON-MINCAN-bc12cac7-1,11170.42,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-64ef8584-1,13170.06,Porcupine,Hoyle,28.57142857142857,33.333333333333336
ON-MAIN-ec0e3472-1,ON-MINCAN-55df954e-1,11535.95,Porcupine,No.3,15.384615384615385,33.333333333333336
ON-MAIN-ec0e3472-1,ON-MINCAN-3abfda0f-1,4717.09,Porcupine,Aunor,28.57142857142857,50.0
ON-MAIN-ec0e3472-1,ON-MINCAN-ab48ffa7-1,11944.83,Porcupine,Hoyle Pond,31.57894736842105,46.15384615384615
ON-MAIN-ec0e3472-1,ON-MINCAN-938e5d45-1,8608.74,Porcupine,Bonwhit,25.0,28.57142857142857
ON-MAIN-ec0e3472-1,ON-MINCAN-06b71c99-1,5379.14,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-52f8932b-1,0.13,Porcupine,Dome,30.76923076923077,40.0
ON-MAIN-ec0e3472-1,ON-MINCAN-7c3d9cb4-1,4978.26,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-50f38af5-1,955.89,Porcupine,,46.15384615384615,66.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-25980abf-1,11981.68,Porcupine,Bell Creek,21.052631578947366,30.76923076923077
ON-MAIN-87eff5d8-1,ON-MINCAN-5f254d07-1,5093.43,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-d0b499b7-1,4688.64,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-79615968-1,2864.67,Bell Creek,Owl Creek,73.6842105263158,87.5
ON-MAIN-87eff5d8-1,ON-MINCAN-f24d24cd-1,5751.56,Bell Creek,Pamour,12.5,19.999999999999996
ON-MAIN-87eff5d8-1,ON-MINCAN-b04333c7-1,4615.1,Bell Creek,Hallnor,35.29411764705882,42.85714285714286
ON-MAIN-87eff5d8-1,ON-MINCAN-1935646c-1,14063.35,Bell Creek,Norandas,11.111111111111116,16.666666666666664
ON-MAIN-87eff5d8-1,ON-MINCAN-8863ccf3-1,11790.36,Bell Creek,Schumacher Division (Former McIntyre) and renamed 1981: Shumacher,13.33333333333333,40.0
ON-MAIN-87eff5d8-1,ON-MINCAN-0b822735-1,5423.69,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-eb1e3a56-1,12283.25,Bell Creek,Paymaster,21.052631578947366,25.0
ON-MAIN-87eff5d8-1,ON-MINCAN-6ed98edb-1,9982.28,Bell Creek,Coniaurum,21.052631578947366,28.57142857142857
ON-MAIN-87eff5d8-1,ON-MINCAN-bc12cac7-1,5462.0,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-64ef8584-1,6917.07,Bell Creek,Hoyle,26.66666666666667,40.0
ON-MAIN-87eff5d8-1,ON-MINCAN-55df954e-1,5749.5,Bell Creek,No.3,0.0,0.0
ON-MAIN-87eff5d8-1,ON-MINCAN-3abfda0f-1,15239.55,Bell Creek,Aunor,13.33333333333333,22.22222222222222
ON-MAIN-87eff5d8-1,ON-MINCAN-ab48ffa7-1,2162.13,Bell Creek,Hoyle Pond,19.999999999999996,26.66666666666667
ON-MAIN-87eff5d8-1,ON-MINCAN-938e5d45-1,4340.69,Bell Creek,Bonwhit,11.764705882352944,25.0
ON-MAIN-87eff5d8-1,ON-MINCAN-06b71c99-1,6767.62,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-52f8932b-1,11062.06,Bell Creek,Dome,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-12ff1b95-1,16446.89,Bell Creek,Nighthawk Lake,16.666666666666664,26.66666666666667
ON-MAIN-87eff5d8-1,ON-MINCAN-7c3d9cb4-1,15623.47,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-50f38af5-1,11799.9,Bell Creek,,14.28571428571429,33.333333333333336
ON-MAIN-87eff5d8-1,ON-MINCAN-25980abf-1,924.2,Bell Creek,Bell Creek,100.0,100.0
ON-MAIN-af364a50-1,ON-MINCAN-648bb024-1,0.0,Timmins West,Timmins,73.6842105263158,100.0
ON-MAIN-af364a50-1,ON-MINCAN-1935646c-1,19399.4,Timmins West,Norandas,19.999999999999996,26.66666666666667
ON-MAIN-af364a50-1,ON-MINCAN-3abfda0f-1,19848.28,Timmins West,Aunor,11.764705882352944,19.999999999999996
ON-MAIN-af364a50-1,ON-MINCAN-7c3d9cb4-1,19699.92,Timmins West,,25.0,28.57142857142857
ON-MAIN-af364a50-1,ON-MINCAN-cebc01bd-1,16807.83,Timmins West,,25.0,28.57142857142857
ON-MAIN-f22b9058-1,ON-MINCAN-b9c1621c-1,0.0,Sugar Zone,Sugar Zone,100.0,100.0
SK-MAIN-fb71dcba-1,SK-MINCAN-b90ec60f-1,0.0,Santoy,Santoy 8,85.71428571428572,100.0
SK-MAIN-fb71dcba-1,SK-MINCAN-8625c904-1,12379.32,Santoy,Seabee,33.333333333333336,50.0
SK-MAIN-409d52eb-1,SK-MINCAN-b90ec60f-1,12916.58,Seabee,Santoy 8,28.57142857142857,50.0
SK-MAIN-409d52eb-1,SK-MINCAN-8625c904-1,589.77,Seabee,Seabee,100.0,100.0
NS-MAIN-7611a9c0-1,NS-MINCAN-e29e6f42-1,0.0,Moose River Consolidated,Moose River Consolidated,100.0,100.0
YT-MAIN-24f21978-1,YT-MINCAN-db162621-1,0.0,Eagle (Dublin Gulch),Eagle (Dublin Gulch),100.0,100.0
ON-MAIN-d0063de8-1,ON-MINCAN-e0027676-1,13792.98,Eagle River,Mishi,12.5,22.22222222222222
ON-MAIN-d0063de8-1,ON-MINCAN-53f0459f-1,269.08,Eagle River,Eagle River,100.0,100.0
QC-MAIN-918440f1-1,QC-MINCAN-031d9b4a-1,5508.02,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-6ccb3cc0-1,603.69,Kiena,Kiena,100.0,100.0
QC-MAIN-918440f1-1,QC-MINCAN-88e87266-1,4107.51,Kiena,Goldex,18.181818181818176,28.57142857142857
QC-MAIN-918440f1-1,QC-MINCAN-110653ed-1,19214.52,Kiena,Lac Herbin,26.66666666666667,57.14285714285714
QC-MAIN-918440f1-1,QC-MINCAN-91be3b21-1,14257.55,Kiena,Canadian Malartic,27.27272727272727,44.44444444444444
QC-MAIN-918440f1-1,QC-MINCAN-763f2bdd-1,11462.76,Kiena,Lamarque,15.384615384615385,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-16fe766c-1,5501.85,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-71b83c81-1,16579.62,Kiena,Canadian Malartic,27.27272727272727,44.44444444444444
QC-MAIN-918440f1-1,QC-MINCAN-0fe3711a-1,14769.67,Kiena,Mine Barnat (Sladen),31.999999999999996,50.0
QC-MAIN-918440f1-1,QC-MINCAN-2b8cf562-1,16573.52,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-7571a53f-1,15800.35,Kiena,Mine East Sullivan (Sullico),18.181818181818176,50.0
QC-MAIN-918440f1-1,QC-MINCAN-1d7f2602-1,19781.33,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-94109418-1,6342.06,Kiena,Joubi,19.999999999999996,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-8b33c1d7-1,16470.24,Kiena,Mine Bras D'Or (Zone Dumont),18.181818181818176,50.0
QC-MAIN-918440f1-1,QC-MINCAN-f1f37674-1,17083.34,Kiena,East Amphi,13.33333333333333,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-691404ee-1,14218.02,Kiena,East Malartic,11.111111111111116,28.57142857142857
QC-MAIN-918440f1-1,QC-MINCAN-ae62b622-1,6725.38,Kiena,Norlartic,14.28571428571429,28.57142857142857
QC-MAIN-918440f1-1,QC-MINCAN-508dd259-1,10142.33,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-9bfd2efb-1,10103.64,Kiena,,22.22222222222222,33.333333333333336
QC-MAIN-918440f1-1,QC-MINCAN-af9b8623-1,19504.07,Kiena,Mine Ferderber (Belmoral),19.999999999999996,50.0
QC-MAIN-918440f1-1,QC-MINCAN-be2aab84-1,11632.28,Kiena,Sigma,40.0,44.44444444444444
ON-MAIN-36212738-1,ON-MINCAN-e0027676-1,551.25,Mishi,Mishi,100.0,100.0
ON-MAIN-36212738-1,ON-MINCAN-53f0459f-1,14060.47,Mishi,Eagle River,12.5,22.22222222222222
QC-MAIN-efc41be6-1,QC-MINCAN-4b812cdb-1,646.83,Sleeping Giant,Sleeping Giant,100.0,100.0
QC-MAIN-b1e99caf-1,QC-MINCAN-031d9b4a-1,11446.91,Canadian Malartic,,9.523809523809524,28.57142857142857
QC-MAIN-b1e99caf-1,QC-MINCAN-6ccb3cc0-1,15902.5,Canadian Malartic,Kiena,27.27272727272727,44.44444444444444
QC-MAIN-b1e99caf-1,QC-MINCAN-88e87266-1,19527.86,Canadian Malartic,Goldex,8.695652173913048,18.181818181818176
QC-MAIN-b1e99caf-1,QC-MINCAN-715c25ff-1,16769.3,Canadian Malartic,Lapa,19.047619047619047,50.0
QC-MAIN-b1e99caf-1,QC-MINCAN-91be3b21-1,2434.97,Canadian Malartic,Canadian Malartic,100.0,100.0
QC-MAIN-b1e99caf-1,QC-MINCAN-71b83c81-1,994.32,Canadian Malartic,Canadian Malartic,100.0,100.0
QC-MAIN-b1e99caf-1,QC-MINCAN-0fe3711a-1,2199.68,Canadian Malartic,Mine Barnat (Sladen),32.432432432432435,42.85714285714286
