main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
BC-MAIN-3F490561,mining,0,2,9,0,0,0,217,1,6,1,4,1,9,16,9,0,32,128
QC-MAIN-586679B9,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
NL-MAIN-DD723DB4,mining,1,0,9,0,1,4,1,1,4,1,4,1,1,6,16,0,32,128
ON-MAIN-7001A391,mining,1,0,9,0,0,0,104,1,4,1,4,1,10,23,0,0,32,128
ON-MAIN-9A34108C,advanced project,0,0,9,0,0,0,20,1,1,1,4,1,0,22,0,0,32,128
ON-MAIN-6BD6CC80,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,84,0,0,32,128
MB-MAIN-A832FB0A,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
BC-MAIN-12730593,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
ON-MAIN-575C5E66,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,80,0,0,32,128
ON-MAIN-6B998583,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,74,0,0,32,128
QC-MAIN-0414A373,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,196,0,0,32,128
AB-MAIN-35D0DC71,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,7,0,0,32,128
QC-MAIN-A2C6775D,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,117,0,0,32,128
ON-MAIN-B1D981CA,advanced project,0,0,9,0,0,0,0,1,2,1,4,1,0,23,0,0,32,128
ON-MAIN-54B7E152,advanced project,0,0,9,0,0,0,0,1,8,1,4,1,0,30,0,0,32,128
QC-MAIN-AA793D35,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,36,0,0,32,128
QC-MAIN-649D2873,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,61,0,0,32,128
QC-MAIN-A555D9B9,mining,1,0,9,0,0,0,145,1,2,1,4,1,1,61,0,0,32,128
NB-MAIN-C1E4DEE0,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,112,0,0,32,128
NL-MAIN-F021107E,mining,1,0,9,0,0,0,0,1,2,1,4,1,0,1,0,0,32,128
QC-MAIN-615EBDB4,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,52,0,0,32,128
ON-MAIN-470B504B,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,123,0,0,32,128
ON-MAIN-4E0734B5,mining,1,0,9,0,0,0,0,1,14,1,4,1,7,17,0,0,32,128
QC-MAIN-237D67C1,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,7,0,0,32,128
BC-MAIN-C7247100,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,17,0,0,32,128
YT-MAIN-752FBCAE,mining,1,0,9,0,0,0,1,1,1,1,4,1,2,3,0,0,32,128
NU-MAIN-8E62BFBC,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
NU-MAIN-1EF8AF2C,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
QC-MAIN-EB73FD68,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,85,0,0,32,128
QC-MAIN-9D41D417,advanced project,0,0,9,0,0,0,0,1,4,1,4,1,0,2,0,0,32,128
ON-MAIN-2BB07CD3,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,23,0,0,32,128
BC-MAIN-AA76F6F2,mining,1,2,9,0,7,0,178,1,13,1,4,1,11,48,12,0,32,128
ON-MAIN-0AADF28F,mining,1,0,9,0,5,0,141,1,3,1,4,1,6,32,10,0,32,128
ON-MAIN-1C674CD0,mining,1,0,9,0,0,0,132,1,0,1,4,1,0,16,0,0,32,128
BC-MAIN-857B7B89,mining,1,0,9,0,7,0,50,1,0,1,4,1,8,6,6,0,32,128
BC-MAIN-C720B195,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,9,0,0,32,128
ON-MAIN-8629A493,mining,1,0,9,0,0,0,0,1,3,1,4,1,0,9,0,0,32,128
ON-MAIN-538513CD,mining,1,0,9,0,6,2,28,1,3,1,4,1,5,10,5,0,32,128
ON-MAIN-FEFEAEE4,mining,1,0,9,0,8,0,211,1,8,1,4,1,5,2,3,1,32,128
ON-MAIN-3B3E5365,mining,1,0,9,0,0,0,222,1,1,1,4,1,0,10,0,15,32,128
BC-MAIN-8EB8BE0D,mining,1,2,9,0,8,2,184,1,3,1,4,1,7,10,5,0,32,128
QC-MAIN-6DC537E6,mining,1,0,9,0,0,0,218,1,12,1,4,1,0,1,0,0,32,128
BC-MAIN-B4655AFB,advanced project,0,2,9,0,0,0,0,1,0,1,4,1,0,2,6,0,32,128
SK-MAIN-3012889C,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
YT-MAIN-1910D1C3,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
QC-MAIN-288718A6,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,44,0,0,32,128
NB-MAIN-F58CC895,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,108,0,0,32,128
ON-MAIN-8B86D975,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,51,0,0,32,128
BC-MAIN-6FBDCF4C,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,73,0,0,32,128
BC-MAIN-265A57F6,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,19,0,0,32,128
NT-MAIN-B3681E03,advanced project,0,0,9,0,0,0,0,1,1,1,4,1,0,2,0,0,32,128
QC-MAIN-D6748D40,advanced project,0,0,9,1,0,0,0,1,0,1,4,1,0,114,0,0,32,128
QC-MAIN-69BB36C1,advanced project,0,0,9,0,0,0,0,1,1,1,4,1,0,11,0,0,32,128
SK-MAIN-60BA74C4,mining,1,0,9,0,0,0,0,1,11,1,4,1,2,2,0,0,32,128
NT-MAIN-B99D4CB2,advanced project,0,0,9,0,0,0,0,1,11,1,4,1,0,2,0,1,32,128
NL-MAIN-A498DDC6,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
ON-MAIN-BFBCD72E,mining,1,0,9,0,0,0,1,1,0,1,4,1,0,12,0,1,32,128
ON-MAIN-F3E6FF08,mining,1,0,9,0,0,0,40,1,7,1,4,1,0,8,0,0,32,128
QC-MAIN-3AA117D8,manufacturing,0,0,9,0,0,0,167,1,0,1,4,1,2,49,0,0,32,128
QC-MAIN-C1C7EB99,manufacturing,0,0,9,0,0,0,348,1,0,1,4,1,2,64,0,0,32,128
QC-MAIN-01C1E81F,manufacturing,0,0,9,0,0,0,210,1,0,1,4,1,2,81,0,0,32,128
BC-MAIN-EB47F7C7,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,1,64,0,0,32,128
QC-MAIN-C0E3A48B,manufacturing,0,0,9,0,0,0,138,1,0,1,4,1,2,64,0,0,32,128
QC-MAIN-92628F16,manufacturing,0,0,9,0,0,0,57,1,3,1,4,1,2,64,0,2,32,128
QC-MAIN-8D6616B4,manufacturing,0,0,9,0,0,0,214,1,0,1,4,1,2,65,0,0,32,128
NT-MAIN-0EC39CE0,mining,1,0,9,0,0,0,1,1,2,1,4,1,0,0,0,1,32,128
QC-MAIN-E82266C5,mining,1,0,9,0,0,0,0,1,1,1,4,1,2,25,5,0,32,128
QC-MAIN-11C40B1F,advanced project,0,0,9,0,0,0,0,1,1,1,4,1,0,139,0,0,32,128
QC-MAIN-3E146840,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,1,140,0,0,32,128
QC-MAIN-7B3B4C8B,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,139,0,0,32,128
ON-MAIN-EDA110B0,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,13,0,0,32,128
YT-MAIN-73CE66B5,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
BC-MAIN-116AE608,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,10,0,0,32,128
ON-MAIN-DCA9CCE7,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,137,0,0,32,128
SK-MAIN-D5C9124E,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,50,0,0,32,128
QC-MAIN-C4FB59C2,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,24,0,0,32,128
QC-MAIN-1186A6D0,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,27,0,0,32,128
QC-MAIN-DC1A16F9,mining,1,0,9,0,0,0,110,1,3,1,4,1,2,23,1,0,32,128
