main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
MB-MAIN-e2e67f8f,MB-MINCAN-15965632,1491.8,1901,Lalor Lake,0.0,0.0
MB-MAIN-e2e67f8f,MB-MINCAN-556ed99a,6351.38,1901,New Britannia ( Nor-Acme),0.0,0.0
BC-MAIN-599152a0,BC-MINCAN-77aaa8f9,1917.76,Copper Mountain,Similkameen Division,30.76923076923077,22.85714285714286
BC-MAIN-599152a0,BC-MINCAN-14ce4b06,0.0,Copper Mountain,Copper Mountain,100.0,100.0
MB-MAIN-be5b3dc8,MB-MINCAN-15965632,1457.75,Lalor Lake,Lalor Lake,100.0,100.0
MB-MAIN-be5b3dc8,MB-MINCAN-556ed99a,6367.16,Lalor Lake,New Britannia ( Nor-Acme),33.333333333333336,28.57142857142857
MB-MAIN-da0b5c3d,MB-MINCAN-15965632,8670.85,New Britannia,Lalor Lake,26.66666666666667,17.391304347826093
MB-MAIN-da0b5c3d,MB-MINCAN-556ed99a,3116.63,New Britannia,New Britannia ( Nor-Acme),100.0,100.0
MB-MAIN-c0684566,,,Rail,,,
MB-MAIN-0898e255,MB-MINCAN-15965632,13240.41,Stall Lake,Lalor Lake,77.77777777777779,70.0
MB-MAIN-0898e255,MB-MINCAN-556ed99a,5563.25,Stall Lake,New Britannia ( Nor-Acme),30.000000000000004,17.14285714285714
MB-MAIN-854abe09,,,Talbot,,,
MB-MAIN-1a82a1b7,,,Tower,,,
MB-MAIN-b5b81ee3,MB-MINCAN-15965632,18562.51,Wim,Lalor Lake,0.0,0.0
MB-MAIN-b5b81ee3,MB-MINCAN-556ed99a,17848.33,Wim,New Britannia ( Nor-Acme),33.333333333333336,14.285714285714292
QC-MAIN-02884fb5,QC-MINCAN-8321e85e,4535.61,Westwood-Doyon,LaRonde,44.44444444444444,19.04761904761905
QC-MAIN-02884fb5,QC-MINCAN-efafa693,0.0,Westwood-Doyon,Westwood,100.0,72.72727272727272
ON-MAIN-a3c56a83,ON-MINCAN-de7958a8,191.61,Lac des Iles,Lac-des-iles,75.0,50.0
BC-MAIN-3f490561,,,Mount Polley,,,
QC-MAIN-586679b9,,,Crater Lake,,,
NL-MAIN-dd723db4,,,Carol Lake,,,
ON-MAIN-7001a391,ON-MINCAN-838ef03f,5322.37,McCreedy West,Fraser,36.36363636363637,21.05263157894737
ON-MAIN-7001a391,ON-MINCAN-fa8d0bc2,3017.32,McCreedy West,Levack,25.0,10.526315789473685
ON-MAIN-9a34108c,ON-MINCAN-5ea38d2b,4975.93,Victoria,Lockerby,33.333333333333336,25.0
ON-MAIN-9a34108c,ON-MINCAN-07ece30d,6842.19,Victoria,Totten,19.999999999999996,14.285714285714292
ON-MAIN-6bd6cc80,,,Kingston Operation,,,
MB-MAIN-a832fb0a,MB-MINCAN-556ed99a,18347.24,East Wekusko - Snow Lake,New Britannia ( Nor-Acme),27.027027027027028,28.57142857142857
BC-MAIN-12730593,,,Kutcho,,,
ON-MAIN-575c5e66,,,Ontario Spoke,,,
ON-MAIN-6b998583,,,Markham lithium reprocessing facility,,,
QC-MAIN-0414a373,,,Lithion St-Bruno,,,
AB-MAIN-35d0dc71,,,Boardwalk,,,
QC-MAIN-a2c6775d,,,La Loutre,,,
ON-MAIN-b1d981ca,ON-MINCAN-5ea38d2b,3085.69,Crean Hill,Lockerby,19.999999999999996,11.111111111111114
ON-MAIN-b1d981ca,ON-MINCAN-07ece30d,8740.58,Crean Hill,Totten,36.36363636363637,25.0
ON-MAIN-54b7e152,,,Shakespeare,,,
QC-MAIN-aa793d35,,,Dumont Nickel,,,
QC-MAIN-649d2873,QC-MINCAN-13530c4c,74.99,Niobec Converter,Niobec,100.0,100.0
QC-MAIN-a555d9b9,QC-MINCAN-13530c4c,176.78,Niobec,Niobec,100.0,100.0
NB-MAIN-c1e4dee0,,,Battery Hill,,,
NL-MAIN-f021107e,NL-MINCAN-64d7ea1b,408.47,Point Rousse,Pine Cove,58.82352941176471,38.095238095238095
QC-MAIN-615ebdb4,,,Lac Guéret (Uatnan),,,
ON-MAIN-470b504b,,,Ottawa Plant,,,
ON-MAIN-4e0734b5,ON-MINCAN-019a0826,0.0,Fox Complex,Black Fox,50.0,50.0
QC-MAIN-237d67c1,,,Lac Rainy Graphite,,,
BC-MAIN-c7247100,,,Driftwood Creek,,,
YT-MAIN-752fbcae,,,Minto,,,
NU-MAIN-8e62bfbc,,,High Lake,,,
NU-MAIN-1ef8af2c,,,Izok Lake,,,
QC-MAIN-eb73fd68,,,Nemaska lithium conversion facility,,,
QC-MAIN-9d41d417,,,Whabouchi,,,
ON-MAIN-2bb07cd3,,,River Valley,,,
BC-MAIN-aa76f6f2,BC-MINCAN-72fabc94,0.0,New Afton,New Afton,100.0,100.0
ON-MAIN-0aadf28f,ON-MINCAN-ddd10f1c,0.0,Rainy River,Rainy River,100.0,100.0
ON-MAIN-1c674cd0,ON-MINCAN-b94b1f25,0.0,Borden,Borden,100.0,100.0
BC-MAIN-857b7b89,BC-MINCAN-492cfeba,0.0,Brucejack,Brucejack,100.0,100.0
BC-MAIN-c720b195,,,GJ,,,
ON-MAIN-8629a493,ON-MINCAN-4e601e2c,14905.95,Hollinger,Hoyle Pond,57.14285714285714,42.10526315789474
ON-MAIN-8629a493,ON-MINCAN-7b29d7b3,14262.81,Hollinger,Bell Creek,37.5,31.578947368421055
ON-MAIN-538513cd,ON-MINCAN-4e601e2c,3009.77,Hoyle Pond,Hoyle Pond,100.0,100.0
ON-MAIN-538513cd,ON-MINCAN-7b29d7b3,4758.45,Hoyle Pond,Bell Creek,26.66666666666667,20.0
ON-MAIN-fefeaee4,ON-MINCAN-69e999a0,1974.44,Musselwhite,Musselwhite,100.0,100.0
ON-MAIN-3b3e5365,ON-MINCAN-8cc0bb47,17332.94,Porcupine,Redstone,40.0,35.294117647058826
ON-MAIN-3b3e5365,ON-MINCAN-4e601e2c,11944.83,Porcupine,Hoyle Pond,46.15384615384615,31.578947368421055
ON-MAIN-3b3e5365,ON-MINCAN-7b29d7b3,11981.68,Porcupine,Bell Creek,30.76923076923077,21.05263157894737
BC-MAIN-8eb8be0d,BC-MINCAN-496a2682,0.0,Red Chris,Red Chris,100.0,100.0
QC-MAIN-6dc537e6,QC-MINCAN-1c16c912,0.0,Éléonore,Éléonore,100.0,100.0
BC-MAIN-b4655afb,,,Galore Creek,,,
SK-MAIN-3012889c,,,Rook I,,,
YT-MAIN-1910d1c3,,,Nickel Shaw,,,
QC-MAIN-288718a6,,,Crevier,,,
NB-MAIN-f58cc895,,,Sisson,,,
ON-MAIN-8b86d975,,,Bissett Creek,,,
BC-MAIN-6fbdcf4c,,,North Island,,,
BC-MAIN-265a57f6,,,Kwanika,,,
NT-MAIN-b3681e03,,,Prairie Creek,,,
QC-MAIN-d6748d40,,,Matawinie,,,
QC-MAIN-69bb36c1,,,Caber Complex,,,
SK-MAIN-60ba74c4,,,McClean Lake,,,
NT-MAIN-b99d4cb2,,,Pine Point,,,
NL-MAIN-a498ddc6,,,Michelin,,,
ON-MAIN-bfbcd72e,ON-MINCAN-4e601e2c,2162.13,Bell Creek,Hoyle Pond,26.66666666666667,20.0
ON-MAIN-bfbcd72e,ON-MINCAN-7b29d7b3,924.2,Bell Creek,Bell Creek,100.0,100.0
ON-MAIN-f3e6ff08,ON-MINCAN-643672f4,0.0,Timmins West,Timmins,100.0,100.0
QC-MAIN-3aa117d8,,,Alma,,,
QC-MAIN-c1c7eb99,QC-MINCAN-13530c4c,11305.35,Arvida,Niobec,25.0,16.66666666666667
QC-MAIN-01c1e81f,,,Grande-Baie,,,
BC-MAIN-eb47f7c7,,,Kitimat,,,
QC-MAIN-c0e3a48b,,,Laterrière,,,
QC-MAIN-92628f16,QC-MINCAN-13530c4c,11485.06,Vaudreuil,Niobec,25.0,13.333333333333329
QC-MAIN-8d6616b4,,,Alouette,,,
NT-MAIN-0ec39ce0,,,Diavik,,,
QC-MAIN-e82266c5,QC-MINCAN-287a8b10,190.38,Lac Tio,Tio (Lake Tio or Allard Lake),71.42857142857143,60.0
QC-MAIN-11c40b1f,,,Lithium Demonstration Plant,,,
QC-MAIN-3e146840,,,Rio Tinto Iron and Titanium,,,
QC-MAIN-7b3b4c8b,,,Scandium Demonstration Plant,,,
ON-MAIN-eda110b0,,,Georgia Lake,,,
YT-MAIN-73ce66b5,,,Klaza,,,
BC-MAIN-116ae608,,,Revel Ridge,,,
ON-MAIN-dca9cce7,,,Ottawa,,,
SK-MAIN-d5c9124e,SK-MINCAN-1e58c571,17170.8,Rare Earth Processing Facility,Cory Division,38.46153846153846,32.55813953488372
